Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Chris Babb\babbch01,2014,2014,G,6-5,225,February 14 1990,Penn State Iowa State
Luke Babbitt\babbilu01,2011,2018,F,6-9,225,June 20 1989,Nevada
Miloš Babić\babicmi01,1991,1992,C-F,7-0,240,November 23 1968,Tennessee Technological University
Johnny Bach\bachjo01,1949,1949,F-G,6-2,180,July 10 1924,Fordham
Dwayne Bacon\bacondw01,2018,2020,G,6-6,221,August 30 1995,Florida State
Henry Bacon\baconhe01,1973,1973,G,6-3,205,July 5 1948,Louisville
Jim Baechtold\baechji01,1953,1957,F-G,6-4,205,December 9 1927,Eastern Kentucky University
Dalibor Bagarić\bagarda01,2001,2003,C,7-1,255,February 7 1980,
John Bagley\baglejo01,1983,1994,G,6-0,185,April 23 1960,Boston College
Marvin Bagley\baglema01,2019,2020,F,6-11,240,March 14 1999,Duke
Carl Bailey\baileca01,1982,1982,C,7-0,210,April 23 1958,Tuskegee University
Gus Bailey\bailegu01,1975,1980,G-F,6-5,185,February 18 1951,Texas-El Paso
James Bailey\baileja01,1980,1988,F-C,6-9,220,May 21 1957,Rutgers University
Thurl Bailey\baileth01,1984,1999,F-C,6-11,215,April 7 1961,NC State
Toby Bailey\baileto01,1999,2000,G,6-6,213,November 19 1975,UCLA
Cameron Bairstow\bairsca01,2015,2016,F-C,6-9,250,December 7 1990,New Mexico
Jimmie Baker\bakerji01,1976,1976,F,6-9,220,December 25 1953,Hawaii
LaMark Baker\bakerla01,1999,1999,G,6-1,175,November 11 1969,Ohio State
Maurice Baker\bakerma01,2005,2005,G,6-1,175,July 28 1979,Oklahoma State
Norm Baker\bakerno01,1947,1947,G,6-0,180,February 17 1923,
Ron Baker\bakerro01,2017,2019,G,6-4,220,March 30 1993,Wichita State
Vin Baker\bakervi01,1994,2006,F,6-11,232,November 23 1971,University of Hartford
Wade Baldwin\baldwwa01,2017,2019,G,6-4,200,March 29 1996,Vanderbilt
Renaldo Balkman\balkmre01,2007,2012,F,6-8,208,July 14 1984,South Carolina
Cedric Ball\ballce01,1991,1991,F,6-8,210,April 16 1968,UNC Charlotte
Lonzo Ball\balllo01,2018,2020,G,6-6,190,October 27 1997,UCLA
Greg Ballard\ballagr01,1978,1989,F,6-7,215,January 29 1955,Oregon
Herschel Baltimore\baltihe01,1947,1947,F,6-4,195,June 21 1921,Penn State
Mo Bamba\bambamo01,2019,2020,C,7-0,241,May 12 1998,Texas
Gene Banks\banksge01,1982,1987,F-G,6-7,215,May 15 1959,Duke
Marcus Banks\banksma01,2004,2011,G,6-2,200,November 19 1981,UNLV
Walker Banks\bankswa01,1971,1971,C,6-10,205,August 26 1947,Western Kentucky
Ken Bannister\bannike01,1985,1991,F-C,6-9,235,April 1 1960,Indiana State University Saint Augustine's College
Mike Bantom\bantomi01,1974,1982,F-C,6-9,200,December 3 1951,Saint Joseph's
John Barber\barbejo01,1957,1957,F,6-6,210,June 27 1927,California State University Los Angeles
Leandro Barbosa\barbole01,2004,2017,G,6-3,194,November 28 1982,
Steve Bardo\bardost01,1992,1996,G,6-5,190,April 5 1968,Illinois
J.J. Barea\bareajo01,2007,2020,G,5-10,185,June 26 1984,Northeastern University
Andrea Bargnani\bargnan01,2007,2016,F-C,7-0,245,October 26 1985,
Cliff Barker\barkecl01,1950,1952,G,6-2,185,January 15 1921,Kentucky
Tom Barker\barketo01,1977,1979,C-F,6-11,225,March 11 1955,Hawaii
Charles Barkley\barklch01,1985,2000,F,6-6,252,February 20 1963,Auburn
Erick Barkley\barkler01,2001,2002,G,6-1,177,February 21 1978,St. John's
Don Barksdale\barksdo01,1952,1955,F-C,6-6,200,March 31 1923,UCLA
Harrison Barnes\barneha02,2013,2020,F,6-8,225,May 30 1992,UNC
Harry Barnes\barneha01,1969,1969,F,6-3,205,July 25 1945,Northeastern University
Jim Barnes\barneji01,1965,1971,C-F,6-8,210,April 13 1941,Texas-El Paso
Marvin Barnes\barnema01,1975,1980,F-C,6-8,210,July 27 1952,Providence
Matt Barnes\barnema02,2004,2017,F,6-7,226,March 9 1980,UCLA
Dick Barnett\barnedi01,1960,1974,G-F,6-4,190,October 2 1936,Tennessee State
Jim Barnett\barneji02,1967,1977,G-F,6-4,170,July 7 1944,Oregon
Nathaniel Barnett\barnena01,1976,1976,G,6-3,175,January 29 1953,University of Akron
John Barnhill\barnhjo01,1963,1972,G,6-1,180,March 20 1938,Tennessee State
Norton Barnhill\barnhno01,1977,1977,G,6-4,205,July 15 1953,Washington State
Leo Barnhorst\barnhle01,1950,1954,F-G,6-4,190,May 11 1924,Notre Dame
John Barr\barrjo01,1947,1947,F,6-3,205,August 18 1918,Penn State
Mike Barr\barrmi01,1973,1977,G,6-3,180,October 19 1950,Duquesne
Moe Barr\barrmo01,1971,1971,G,6-4,195,June 19 1944,Duquesne
Andre Barrett\barrean01,2005,2008,G,5-10,172,February 21 1982,Seton Hall
Ernie Barrett\barreer01,1954,1956,G-F,6-3,180,August 27 1929,Kansas State
Mike Barrett\barremi01,1970,1973,G,6-2,155,September 5 1943,West Virginia Tech
RJ Barrett\barrerj01,2020,2020,G-F,6-6,202,June 14 2000,Duke
Earl Barron\barroea01,2006,2015,C,7-0,250,August 14 1981,Memphis
Dana Barros\barroda01,1990,2004,G,5-11,163,April 13 1967,Boston College
Brent Barry\barrybr01,1996,2009,G,6-6,185,December 31 1971,Oregon State
Drew Barry\barrydr01,1998,2000,G,6-5,191,February 17 1973,Georgia Tech
Jon Barry\barryjo01,1993,2006,G,6-4,195,July 25 1969,University of the Pacific Georgia Tech
Rick Barry\barryri01,1966,1980,F,6-7,205,March 28 1944,Miami (FL)
Ed Bartels\barteed01,1950,1951,F,6-5,195,October 8 1925,NC State
Vic Bartolome\bartovi01,1972,1972,C,7-0,230,September 29 1948,Oregon State
Will Barton\bartowi01,2013,2020,G,6-5,175,January 6 1991,Memphis
Eddie Basden\basdeed01,2006,2006,G,6-5,215,February 15 1983,UNC Charlotte
Jerry Baskerville\baskeje01,1976,1976,F,6-7,190,November 10 1951,Temple
Brandon Bass\bassbr01,2006,2017,F,6-8,250,April 30 1985,LSU
Tim Bassett\basseti01,1974,1980,F-C,6-8,225,April 1 1951,Georgia
Maceo Baston\bastoma01,2003,2009,F,6-9,215,May 29 1975,Michigan
Mengke Bateer\bateeme01,2002,2004,C,6-11,290,November 20 1975,
Billy Ray Bates\batesbi01,1980,1983,G,6-4,210,May 31 1956,Kentucky State University
Keita Bates-Diop\bateske01,2019,2020,F,6-8,229,January 23 1996,Ohio State
Esteban Batista\batises01,2006,2007,F-C,6-10,270,September 2 1983,
Mike Batiste\batismi01,2003,2003,F,6-8,225,November 21 1977,Arizona State
Tony Battie\battito01,1998,2012,C-F,6-11,230,February 11 1976,Texas Tech
Shane Battier\battish01,2002,2014,F,6-8,220,September 9 1978,Duke
John Battle\battljo01,1986,1995,G,6-2,175,November 9 1962,Rutgers University
Kenny Battle\battlke01,1990,1993,F,6-6,210,October 10 1964,Northern Illinois Illinois
Dave Batton\battoda01,1983,1984,C,6-10,240,March 26 1956,Notre Dame
Lloyd Batts\battsll01,1975,1975,G-F,6-4,185,May 9 1951,Cincinnati
Nicolas Batum\batumni01,2009,2020,F-G,6-9,200,December 14 1988,
Johnny Baum\baumjo01,1970,1974,F,6-5,200,June 17 1946,Temple
Frankie Baumholtz\baumhfr01,1947,1947,G,5-10,170,October 7 1918,Ohio University
Lonny Baxter\baxtelo01,2003,2006,F,6-8,260,January 27 1979,Maryland
Jerryd Bayless\bayleje01,2009,2019,G,6-3,200,August 20 1988,Arizona
Elgin Baylor\bayloel01,1959,1972,F,6-5,225,September 16 1934,Albertson College of Idaho Seattle University
Howard Bayne\bayneho01,1968,1968,F,6-6,235,July 28 1942,Tennessee
Aron Baynes\baynear01,2013,2020,C,6-10,260,December 9 1986,Washington State
Sergei Bazarevich\bazarse01,1995,1995,G,6-2,168,March 16 1965,
Kent Bazemore\bazemke01,2013,2020,G-F,6-4,195,July 1 1989,Old Dominion
Darius Bazley\bazleda01,2020,2020,F,6-8,208,June 12 2000,
Ed Beach\beached01,1951,1951,F,6-3,200,January 25 1929,West Virginia
Bradley Beal\bealbr01,2013,2020,G,6-3,207,June 28 1993,Florida
Al Beard\beardal01,1968,1968,C,6-9,200,April 27 1942,Norfolk State
Butch Beard\beardbu01,1970,1979,G,6-3,185,May 4 1947,Louisville
Ralph Beard\beardra01,1950,1951,G,5-10,175,December 2 1927,Kentucky
Charles Beasley\beaslch01,1968,1971,G-F,6-5,190,September 23 1945,SMU
Jerome Beasley\beaslje01,2004,2004,F,6-10,237,May 17 1980,Midland College University of North Dakota
John Beasley\beasljo01,1968,1974,F-C,6-9,225,February 5 1944,Texas A&M
Malik Beasley\beaslma01,2017,2020,G,6-4,198,November 26 1996,Florida State
Michael Beasley\beaslmi01,2009,2019,F,6-9,235,January 9 1989,Kansas State
Zelmo Beaty\beatyze01,1963,1975,C,6-9,225,October 25 1939,Prairie View A&M University
Rodrigue Beaubois\beaubro01,2010,2013,G,6-0,170,February 24 1988,
Byron Beck\beckby01,1968,1977,C-F,6-9,225,January 25 1945,University of Denver
Corey Beck\beckco01,1996,1999,G,6-1,190,May 27 1971,South Plains College Arkansas
Ernie Beck\becker01,1954,1961,G-F,6-4,190,December 11 1931,University of Pennsylvania
Arthur Becker\beckear01,1968,1973,F,6-7,205,January 12 1942,Arizona State
Moe Becker\beckemo01,1947,1947,G-F,6-1,185,February 24 1917,Duquesne
Bob Bedell\bedelbo01,1968,1971,F,6-7,205,June 26 1944,Stanford
William Bedford\bedfowi01,1987,1993,C,7-0,225,December 14 1963,Memphis
Hank Beenders\beendha01,1947,1949,C-F,6-6,185,June 2 1916,Long Island University
Ron Behagen\behagro01,1974,1980,F-C,6-9,185,January 14 1951,Minnesota
Elmer Behnke\behnkel01,1952,1952,C,6-7,210,February 3 1929,Bradley
Marco Belinelli\belinma01,2008,2020,G-F,6-5,210,March 25 1986,
Charlie Bell\bellch01,2002,2011,G,6-3,200,March 12 1979,Michigan State
Dennis Bell\bellde01,1974,1976,F,6-5,185,June 2 1951,Drake University
Jordan Bell\belljo01,2018,2020,F,6-8,216,January 7 1995,Oregon
Raja Bell\bellra01,2001,2012,G,6-5,204,September 19 1976,Boston University Florida International University
Troy Bell\belltr01,2004,2004,G,6-1,180,November 10 1980,Boston College
Whitey Bell\bellwh01,1960,1961,G,6-0,180,September 13 1932,NC State
Walt Bellamy\bellawa01,1962,1975,C,6-11,225,July 24 1939,Indiana
DeAndre' Bembry\bembrde01,2017,2020,F,6-5,210,July 4 1994,Saint Joseph's
Irv Bemoras\bemorir01,1954,1957,F-G,6-3,185,November 18 1930,Illinois
Leon Benbow\benbole01,1975,1976,G,6-4,185,July 23 1950,Jacksonville University
Dragan Bender\bendedr01,2017,2020,F,7-0,225,November 17 1997,
Jonathan Bender\bendejo01,2000,2010,F,6-11,202,January 30 1981,
Jerrelle Benimon\benimje01,2015,2015,F,6-8,245,August 1 1991,Georgetown Towson University
Benoit Benjamin\benjabe01,1986,2000,C,7-0,250,November 22 1964,Creighton
Corey Benjamin\benjaco01,1999,2003,G,6-6,200,February 24 1978,Oregon State
Anthony Bennett\bennean01,2014,2017,F,6-8,245,March 14 1993,UNLV
Elmer Bennett\benneel01,1995,1997,G,6-0,170,February 13 1970,Notre Dame
Mario Bennett\bennema01,1996,2000,F,6-6,235,August 1 1973,Arizona State
