Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Žarko Čabarkapa\cabarza01,2004,2006,F,6-11,235,May 21 1981,
Barney Cable\cableba01,1959,1964,F,6-7,175,July 29 1935,Bradley
Bruno Caboclo\cabocbr01,2015,2020,F,6-9,218,September 21 1995,
Jason Caffey\caffeja01,1996,2003,F,6-8,255,June 12 1973,Alabama
Michael Cage\cagemi01,1985,2000,F-C,6-9,224,January 28 1962,San Diego State
Gerry Calabrese\calabge01,1951,1952,G,6-1,175,February 4 1925,St. John's
Nick Calathes\calatni01,2014,2015,G,6-6,213,February 7 1989,Florida
Jose Calderón\caldejo01,2006,2019,G,6-3,200,September 28 1981,
Adrian Caldwell\caldwad01,1990,1998,F-C,6-8,265,July 4 1966,SMU Lamar University
Jim Caldwell\caldwji01,1968,1969,C,6-10,240,January 28 1943,Georgia Tech
Joe Caldwell\caldwjo01,1965,1975,F-G,6-5,195,November 1 1941,Arizona State
Kentavious Caldwell-Pope\caldwke01,2014,2020,G,6-5,205,February 18 1993,Georgia
Bill Calhoun\calhobi01,1949,1955,F-G,6-3,180,November 4 1927,City College of San Francisco
Corky Calhoun\calhoco01,1973,1980,F,6-7,210,November 1 1950,University of Pennsylvania
Demetrius Calip\calipde01,1992,1992,G,6-1,165,November 18 1969,Michigan
Tom Callahan\callato01,1947,1947,G,6-1,180,June 2 1921,Rockhurst University
Rick Calloway\callori01,1991,1991,F,6-6,180,December 12 1966,Indiana Kansas
Ernie Calverley\calveer01,1947,1949,G,5-10,145,January 30 1924,Rhode Island
Mack Calvin\calvima01,1970,1981,G,6-0,165,July 27 1947,USC
Dexter Cambridge\cambrde01,1993,1993,F,6-7,224,January 29 1970,Texas
Marcus Camby\cambyma01,1997,2013,C-F,6-11,220,March 22 1974,UMass
Elden Campbell\campbel01,1991,2005,C,6-11,215,July 23 1968,Clemson
Tony Campbell\campbto01,1985,1995,F-G,6-7,215,May 7 1962,Ohio State
Isaiah Canaan\canaais01,2014,2019,G,6-0,201,May 21 1991,Murray State
Vlatko Čančar\cancavl01,2020,2020,F,6-8,210,April 10 1997,
Larry Cannon\cannola01,1970,1974,G,6-4,195,April 12 1947,La Salle
Clint Capela\capelca01,2015,2020,C,6-10,240,May 18 1994,
Derrick Caracter\caracde01,2011,2011,F,6-9,275,May 4 1988,Louisville Texas-El Paso
Frank Card\cardfr01,1969,1973,F,6-7,195,December 28 1944,South Carolina State University
Brian Cardinal\cardibr01,2001,2012,F,6-8,245,May 2 1977,Purdue
Howie Carl\carlho01,1962,1962,G,5-9,160,June 7 1938,DePaul
Chet Carlisle\carlich01,1947,1947,F-C,6-5,195,November 2 1916,California
Geno Carlisle\carlige01,2005,2005,G,6-3,180,August 13 1976,Northwestern California
Rick Carlisle\carliri01,1985,1990,G,6-5,210,October 27 1959,University of Maine Virginia
Don Carlos\carlodo01,1969,1969,G-F,6-5,210,March 3 1944,Otterbein College
Al Carlson\carlsal01,1976,1976,C,6-11,235,September 17 1951,Oregon
Don Carlson\carlsdo01,1947,1951,G-F,6-0,170,March 22 1919,Minnesota
Bob Carney\carnebo01,1955,1955,G,6-3,170,August 3 1932,Bradley
Rodney Carney\carnero01,2007,2011,F,6-7,205,April 15 1984,Memphis
Bob Carpenter\carpebo01,1950,1951,F-C,6-5,200,November 6 1917,East Texas State University
Antoine Carr\carran01,1985,2000,F-C,6-9,225,July 23 1961,Wichita State
Austin Carr\carrau01,1972,1981,G,6-4,200,March 10 1948,Notre Dame
Chris Carr\carrch01,1996,2001,G,6-5,207,March 12 1974,Southern Illinois
Cory Carr\carrco01,1999,1999,G,6-3,210,December 5 1975,Texas Tech
Kenny Carr\carrke01,1978,1987,F,6-7,220,August 15 1955,NC State
