Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Mike D'Antoni\dantomi01,1974,1977,G,6-3,185,May 8 1951,Marshall
Mike Dabich\dabicmi01,1968,1968,C,7-0,242,December 27 1942,New Mexico State
Ed Dahler\dahleed01,1952,1952,F,6-5,190,January 31 1926,Duquesne
Quintin Dailey\dailequ01,1983,1992,G,6-3,180,January 22 1961,San Francisco
Samuel Dalembert\dalemsa01,2002,2015,C,6-11,255,May 10 1981,Seton Hall
Howie Dallmar\dallmho01,1947,1949,F,6-4,200,May 24 1922,Stanford
Erick Dampier\dampier01,1997,2012,C,6-11,265,July 14 1975,Mississippi State
Louie Dampier\dampilo01,1968,1979,G,6-0,170,November 20 1944,Kentucky
Bob Dandridge\dandrbo01,1970,1982,F-G,6-6,195,November 15 1947,Norfolk State
Antonio Daniels\daniean01,1998,2011,G,6-4,195,March 19 1975,Bowling Green
Erik Daniels\danieer01,2005,2005,F,6-8,214,April 1 1982,Kentucky
Lloyd Daniels\daniell01,1993,1998,G,6-7,205,September 4 1967,Mount San Antonio College
Marquis Daniels\daniema01,2004,2013,G-F,6-6,200,January 7 1981,Auburn
Mel Daniels\danieme01,1968,1977,C,6-9,220,July 20 1944,New Mexico
Troy Daniels\danietr01,2014,2020,G,6-4,205,July 15 1991,Virginia Commonwealth
Sasha Danilović\danilsa01,1996,1997,G,6-5,200,February 26 1970,
Adrian Dantley\dantlad01,1977,1991,F-G,6-5,208,February 28 1956,Notre Dame
Pete Darcey\darcepe01,1953,1953,C,6-7,217,March 3 1930,Oklahoma State
Jimmy Darden\dardeji01,1950,1950,G,6-1,170,June 19 1922,University of Denver
Ollie Darden\dardeol01,1968,1970,F-C,6-7,235,July 28 1944,Michigan
Yinka Dare\dareyi01,1995,1998,C,7-0,265,October 10 1972,George Washington
Jesse Dark\darkje01,1975,1975,G,6-5,210,September 2 1951,Virginia Commonwealth
Rick Darnell\darneri01,1976,1976,C-F,6-10,215,January 1 1953,San Jose State
Jimmy Darrow\darroji01,1962,1962,G,5-10,170,September 25 1937,Bowling Green
Luigi Datome\datomlu01,2014,2015,F,6-8,215,November 27 1987,
Brad Daugherty\daughbr01,1987,1994,C,7-0,245,October 19 1965,UNC
Mack Daughtry\daughma01,1971,1971,G,6-3,175,,Albany State University
Kornél Dávid\davidko01,1999,2001,F,6-9,235,October 22 1971,
Jermareo Davidson\davidje01,2008,2009,F,6-10,230,November 15 1984,Alabama
Bob Davies\daviebo01,1949,1955,G-F,6-1,175,January 15 1920,Seton Hall
Brandon Davies\daviebr01,2014,2015,F,6-10,240,July 25 1991,BYU
Anthony Davis\davisan02,2013,2020,F-C,6-10,253,March 11 1993,Kentucky
Antonio Davis\davisan01,1994,2006,F-C,6-9,215,October 31 1968,Texas-El Paso
Aubrey Davis\davisau01,1947,1947,G-F,6-2,175,March 28 1921,Oklahoma Baptist University
Baron Davis\davisba01,2000,2012,G,6-3,209,April 13 1979,UCLA
Ben Davis\davisbe01,1997,2000,F,6-9,240,December 26 1972,Kansas Arizona
Bill Davis\davisbi01,1947,1947,F,6-3,215,October 3 1920,Notre Dame
Bob Davis\davisbo01,1973,1973,F,6-7,215,April 2 1950,Weber State
Brad Davis\davisbr01,1978,1992,G,6-3,180,December 17 1955,Maryland
Brian Davis\davisbr02,1994,1994,F-G,6-7,200,June 21 1970,Duke
Charles Davis\davisch02,1982,1990,F,6-7,215,October 5 1958,Vanderbilt
Charlie Davis\davisch01,1972,1974,G,6-2,160,September 7 1949,Wake Forest
Dale Davis\davisda01,1992,2007,F-C,6-11,230,March 25 1969,Clemson
Deyonta Davis\davisde01,2017,2019,C-F,6-11,237,December 2 1996,Michigan State
Dwight Davis\davisdw01,1973,1977,F,6-8,220,October 28 1949,Houston
Ed Davis\davised01,2011,2020,F,6-9,225,June 5 1989,UNC
Emanual Davis\davisem01,1997,2003,G,6-4,195,August 27 1968,Delaware State University
Glen Davis\davisgl01,2008,2015,F-C,6-9,289,January 1 1986,LSU
Harry Davis\davisha01,1979,1980,F,6-7,220,January 27 1956,Florida State
Hubert Davis\davishu01,1993,2004,G,6-5,183,May 17 1970,UNC
Jim Davis\davisji01,1968,1975,C-F,6-9,225,December 18 1941,Colorado
Johnny Davis\davisjo01,1977,1986,G,6-2,170,October 21 1955,Dayton
Josh Davis\davisjo02,2004,2012,F,6-8,235,August 10 1980,Wyoming
Lee Davis\davisle01,1969,1976,C-F,6-8,235,October 11 1945,NC Central
Mark Davis\davisma01,1989,1989,F-G,6-6,195,June 8 1963,Old Dominion
Mark Davis\davisma02,1996,2000,G-F,6-7,210,April 26 1973,Howard College Texas Tech
Mel Davis\davisme01,1974,1977,F,6-6,220,November 9 1950,St. John's
Mickey Davis\davismi02,1972,1977,F-G,6-7,195,June 16 1950,Duquesne
Mike Davis\davismi01,1970,1973,G,6-3,185,July 26 1946,Virginia Union University
Mike Davis\davismi03,1983,1983,F,6-10,230,August 2 1956,Maryland
Monti Davis\davismo01,1981,1981,F,6-7,205,July 26 1958,Tennessee State
Paul Davis\davispa01,2007,2010,C,6-11,270,July 21 1984,Michigan State
Ralph Davis\davisra01,1961,1962,G,6-4,180,September 7 1938,Cincinnati
Red Davis\davisre01,1956,1956,C,6-7,220,April 22 1932,St. John's
Ricky Davis\davisri01,1999,2010,G,6-6,195,September 23 1979,Iowa
Ron Davis\davisro01,1977,1982,G-F,6-6,198,May 1 1954,Washington State
Terence Davis\daviste02,2020,2020,G,6-4,205,May 16 1997,Ole Miss
Terry Davis\daviste01,1990,2001,F-C,6-9,225,June 17 1967,Virginia Union University
Tyler Davis\davisty01,2019,2019,C,6-10,266,May 22 1997,Texas A&M
Walt Davis\daviswa01,1954,1958,C-F,6-8,205,January 5 1931,Texas A&M
