Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Ledell Eackles\eacklle01,1989,1998,G-F,6-5,220,November 24 1966,New Orleans
Jim Eakins\eakinji01,1969,1978,C,6-11,215,May 24 1946,BYU
Acie Earl\earlac01,1994,1997,F-C,6-10,240,June 23 1970,Iowa
Ed Earle\earleed01,1954,1954,F,6-3,190,April 28 1927,Loyola Chicago
Cleanthony Early\earlycl01,2015,2016,F,6-8,210,April 17 1991,Wichita State
Penny Early\earlype01,1969,1969,G,5-3,114,May 30 1943,
Mark Eaton\eatonma01,1983,1993,C,7-4,275,January 24 1957,UCLA
Jerry Eaves\eavesje01,1983,1987,G,6-4,180,February 8 1959,Louisville
Devin Ebanks\ebankde01,2011,2013,F,6-9,215,October 28 1989,West Virginia
Bill Ebben\ebbenbi01,1958,1958,G,6-4,190,October 7 1935,Detroit Mercy
Al Eberhard\eberhal01,1975,1978,F,6-6,225,May 10 1952,Missouri
Ndudi Ebi\ebind01,2004,2005,F,6-9,200,June 18 1984,
Roy Ebron\ebronro01,1974,1974,C,6-9,220,August 31 1951,LA-Lafayette
Jarell Eddie\eddieja01,2016,2018,G-F,6-7,218,October 30 1991,Virginia Tech
Patrick Eddie\eddiepa01,1992,1992,C,6-11,240,December 27 1967,Arkansas State University Ole Miss
Dike Eddleman\eddledi01,1950,1953,F-G,6-3,189,December 27 1922,Illinois
Kenton Edelin\edelike01,1985,1985,F,6-8,205,May 24 1962,Virginia
Charles Edge\edgech01,1974,1975,F,6-6,210,February 23 1950,LeMoyne-Owen College
Bobby Edmonds\edmonbo01,1968,1970,F,6-6,220,March 8 1941,Tennessee State
Keith Edmonson\edmonke01,1983,1984,G,6-5,195,September 28 1960,Purdue
Tyus Edney\edneyty01,1996,2001,G,5-10,152,February 14 1973,UCLA
Bill Edwards\edwarbi01,1994,1994,F,6-8,215,September 22 1971,Wright State University
Blue Edwards\edwarbl01,1990,1999,G-F,6-4,200,October 31 1965,East Carolina University
Carsen Edwards\edwarca01,2020,2020,G,5-11,200,March 12 1998,Purdue
Corsley Edwards\edwarco01,2005,2005,F,6-9,275,March 5 1979,Central Connecticut State University
Doug Edwards\edwardo01,1994,1996,F,6-7,220,January 21 1971,Florida State
Franklin Edwards\edwarfr01,1982,1988,G,6-1,170,February 2 1959,Cleveland State University
James Edwards\edwarja01,1978,1996,C-F,7-0,225,November 22 1955,Washington
Jay Edwards\edwarja02,1990,1990,G,6-4,185,January 3 1969,Indiana
John Edwards\edwarjo01,2005,2006,C,7-0,275,July 31 1981,Kent State University
Kevin Edwards\edwarke01,1989,2001,G,6-3,190,October 30 1965,DePaul
Shane Edwards\edwarsh01,2014,2014,F,6-7,220,May 31 1987,Little Rock
Vince Edwards\edwarvi01,2019,2019,F,6-8,225,April 5 1996,Purdue
Johnny Egan\eganjo01,1962,1972,G,5-11,180,January 31 1939,Providence
Lonnie Eggleston\egglelo01,1949,1949,G,6-0,170,June 8 1918,Oklahoma State
Bulbs Ehlers\ehlerbu01,1948,1949,F-G,6-3,198,March 10 1923,Purdue
Craig Ehlo\ehlocr01,1984,1997,G-F,6-6,180,August 11 1961,Washington State
Rich Eichhorst\eichhdi01,1962,1962,G,6-3,200,October 21 1933,SE Missouri State
Howard Eisley\eisleho01,1995,2006,G,6-2,177,December 4 1972,Boston College
Obinna Ekezie\ekeziob01,2000,2005,F-C,6-9,270,August 22 1975,Maryland
Khalid El-Amin\elamikh01,2001,2001,G,5-10,200,April 25 1979,UConn
Don Eliason\eliasdo01,1947,1947,F,6-2,210,July 24 1918,Hamline University
Mario Elie\eliema01,1991,2001,G-F,6-5,210,November 26 1963,American International College
Ray Ellefson\ellefra01,1949,1951,C,6-8,230,November 18 1922,West Texas A&M University
Henry Ellenson\ellenhe01,2017,2020,F,6-10,240,January 13 1997,Marquette
Wayne Ellington\ellinwa01,2010,2020,G,6-4,200,November 29 1987,UNC
Bob Elliott\elliobo01,1979,1981,C-F,6-9,225,August 18 1955,Arizona
Sean Elliott\elliose01,1990,2001,F,6-8,205,February 2 1968,Arizona
Bo Ellis\ellisbo02,1978,1980,F,6-9,197,August 8 1954,Marquette
Boo Ellis\ellisbo01,1959,1960,F,6-5,185,February 11 1936,Niagara University
