Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Bill Gabor\gaborbi01,1950,1955,G-F,5-11,170,May 13 1922,Syracuse
Wenyen Gabriel\gabriwe01,2020,2020,F,6-9,220,March 26 1997,Kentucky
Dan Gadzuric\gadzuda01,2003,2012,C,6-11,240,February 2 1978,UCLA
Daniel Gafford\gaffoda01,2020,2020,F,6-10,234,October 1 1998,Arkansas
Deng Gai\gaide01,2006,2006,F,6-9,250,March 22 1982,Fairfield
Elmer Gainer\gaineel01,1948,1950,F-C,6-6,195,November 22 1918,DePaul
Bill Gaines\gainebi01,1969,1969,G,6-4,185,March 10 1946,East Texas State University
Corey Gaines\gaineco01,1989,1995,G,6-3,195,June 1 1965,UCLA Loyola Marymount University
David Gaines\gaineda01,1968,1968,G,6-1,170,February 27 1942,LeMoyne-Owen College
Reece Gaines\gainere01,2004,2006,G,6-6,205,January 7 1981,Louisville
Sundiata Gaines\gainesu01,2010,2012,G,6-1,185,April 18 1986,Georgia
Mike Gale\galemi01,1972,1982,G,6-4,185,July 18 1950,Elizabeth City State University
Chad Gallagher\gallach01,1994,1994,C,6-10,255,May 30 1969,Creighton
Harry Gallatin\gallaha01,1949,1958,F-C,6-6,210,April 26 1927,Truman State University
Gene Gallette\gillege01,1947,1947,F,6-2,205,February 22 1919,
Danilo Gallinari\gallida01,2009,2020,F,6-10,233,August 8 1988,
Langston Galloway\gallola01,2015,2020,G,6-1,200,December 9 1991,Saint Joseph's
Dave Gambee\gambeda01,1959,1970,F,6-6,215,April 16 1937,Oregon State
Kevin Gamble\gamblke01,1988,1997,F-G,6-5,210,November 13 1965,Iowa
Bob Gantt\ganttbo01,1947,1947,F-C,6-4,205,June 22 1922,Duke
Jorge Garbajosa\garbajo01,2007,2008,F,6-9,245,December 19 1977,
Rubén Garcés\garceru01,2001,2001,F,6-9,245,October 17 1973,Providence
Alex Garcia\garcial01,2004,2005,G,6-3,220,March 4 1980,
Francisco García\garcifr01,2006,2015,F-G,6-7,195,December 31 1981,Louisville
Chuck Gardner\gardnch01,1968,1968,F,6-8,205,September 30 1944,Colorado
Earl Gardner\gardnea01,1949,1949,F,6-3,195,September 18 1923,DePauw University
Kenneth Gardner\gardnke01,1976,1976,F,6-5,205,September 27 1949,Utah
Thomas Gardner\gardnth01,2008,2009,G,6-5,225,February 8 1985,Missouri
Vern Gardner\gardnve01,1950,1952,F-C,6-5,200,May 14 1925,Utah
Jack Garfinkel\garfija01,1947,1949,G,6-0,190,June 13 1918,St. John's
Patricio Garino\garinpa01,2017,2017,G-F,6-6,210,May 17 1993,George Washington
Darius Garland\garlada01,2020,2020,G,6-1,175,January 26 2000,Vanderbilt
Gary Garland\garlaga01,1980,1980,G,6-4,180,October 12 1957,DePaul
Winston Garland\garlawi01,1988,1995,G,6-2,170,December 19 1964,Missouri State University
Dick Garmaker\garmadi01,1956,1961,G-F,6-3,200,October 29 1932,Minnesota
