Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Rui Hachimura\hachiru01,2020,2020,F,6-8,230,February 8 1998,Gonzaga
Rudy Hackett\hackeru01,1976,1977,F,6-9,210,May 10 1953,Syracuse
Hamed Haddadi\haddaha01,2009,2013,C,7-2,254,May 19 1985,
Jim Hadnot\hadnoji01,1968,1968,C-F,6-10,235,January 15 1940,Providence
Scott Haffner\haffnsc01,1990,1991,G,6-3,180,February 2 1966,Illinois University of Evansville
Cliff Hagan\hagancl01,1957,1970,F-G,6-4,210,December 9 1931,Kentucky
Glenn Hagan\hagangl01,1982,1982,G,6-0,170,June 25 1955,St. Bonaventure
Tom Hagan\haganto01,1970,1971,G,6-3,185,January 29 1947,Vanderbilt
Robert Hahn\hahnro01,1950,1950,C,6-10,240,August 25 1925,NC State
Al Hairston\hairsal01,1969,1970,G,6-1,170,December 11 1945,Bowling Green
Happy Hairston\hairsha01,1965,1975,F,6-7,225,May 31 1942,NYU
Lindsay Hairston\hairsli01,1976,1976,F-C,6-7,180,December 8 1951,Michigan State
Malik Hairston\hairsma01,2009,2010,G,6-6,220,February 23 1987,Oregon
P.J. Hairston\hairspj02,2015,2016,G-F,6-6,230,December 24 1992,UNC
Marcus Haislip\haislma01,2003,2010,F,6-10,230,December 22 1980,Tennessee
Chick Halbert\halbech01,1947,1951,C,6-9,225,February 27 1919,West Texas A&M University
Swede Halbrook\halbrsw01,1961,1962,C,7-3,235,January 30 1933,Oregon State
Bruce Hale\halebr01,1949,1951,G-F,6-1,170,August 30 1918,Santa Clara
Hal Hale\haleha01,1968,1968,G,6-1,180,September 21 1945,Utah State University
Jack Haley\haleyja01,1989,1998,C-F,6-10,240,January 27 1964,UCLA
Shaler Halimon\halimsh01,1969,1973,G-F,6-5,199,March 30 1945,Utah State University
Devon Hall\hallde01,2020,2020,G,6-2,215,July 7 1995,Virginia
Mike Hall\hallmi01,2007,2007,F,6-8,230,June 5 1984,George Washington
Jeff Halliburton\hallije01,1972,1973,G,6-5,193,July 3 1949,Drake University
Darvin Ham\hamda01,1997,2005,F,6-7,220,July 23 1973,Texas Tech
Steve Hamer\hamerst01,1997,1997,C,7-0,245,November 13 1973,Tennessee
Dale Hamilton\hamilda01,1950,1950,G-F,6-0,180,August 16 1919,Franklin College
Daniel Hamilton\hamilda02,2018,2019,G-F,6-7,195,August 8 1995,UConn
Dennis Hamilton\hamilde01,1968,1971,F,6-8,210,May 8 1944,Arizona State
Joe Hamilton\hamiljo01,1971,1976,G,5-10,160,July 5 1948,University of North Texas
Jordan Hamilton\hamiljo02,2012,2016,G-F,6-7,220,October 6 1990,Texas
Justin Hamilton\hamilju01,2014,2017,C,7-0,260,April 1 1990,Iowa State LSU
Ralph Hamilton\hamilra01,1949,1949,G-F,6-1,188,June 10 1921,Indiana
Richard Hamilton\hamilri01,2000,2013,G-F,6-6,185,February 14 1978,UConn
Roy Hamilton\hamilro01,1980,1981,G,6-2,180,July 20 1957,UCLA
Steve Hamilton\hamilst01,1959,1960,F-C,6-6,190,November 30 1934,Morehead State University
Tang Hamilton\hamilta01,2002,2002,F,6-8,220,May 26 1978,Mississippi State
Thomas Hamilton\hamilth01,1996,2000,C,7-2,330,April 3 1975,Pitt
Zendon Hamilton\hamilze01,2001,2006,C-F,6-11,250,April 27 1975,St. John's
Geert Hammink\hammige01,1994,1996,C,7-0,262,July 12 1969,LSU
Julian Hammond\hammoju01,1968,1972,F,6-5,205,May 27 1943,Tulsa
Tom Hammonds\hammoto01,1990,2001,F,6-9,215,March 27 1967,Georgia Tech
A.J. Hammons\hammoaj01,2017,2017,C,7-0,260,August 27 1992,Purdue
Joe Hamood\hamoojo01,1968,1968,G,6-0,180,September 7 1943,Houston
Darrin Hancock\hancoda01,1995,1997,G-F,6-7,205,November 3 1971,Kansas
