Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Warren Jabali\jabalwa01,1969,1975,G-F,6-2,200,August 29 1946,Wichita State
Jarrett Jack\jackja01,2006,2018,G,6-3,200,October 28 1983,Georgia Tech
Aaron Jackson\jacksaa01,2018,2018,G,6-4,185,May 6 1986,Duquesne
Al Jackson\jacksal01,1968,1968,G,6-1,185,July 29 1943,Wilberforce University
Bobby Jackson\jacksbo01,1998,2009,G,6-1,185,March 13 1973,Minnesota
Cedric Jackson\jacksce01,2010,2010,G,6-3,191,March 5 1986,St. John's Cleveland State University
Darnell Jackson\jacksda01,2009,2011,F,6-9,253,November 7 1985,Kansas
Demetrius Jackson\jacksde01,2017,2019,G,6-1,201,September 7 1994,Notre Dame
Frank Jackson\jacksfr01,2019,2020,G,6-3,205,May 4 1998,Duke
Greg Jackson\jacksgr01,1975,1975,G,6-0,180,August 2 1952,Guilford College
Jaren Jackson\jacksja01,1990,2002,G-F,6-4,190,October 27 1967,Georgetown
Jaren Jackson\jacksja02,2019,2020,F,6-11,242,September 15 1999,Michigan State
Jermaine Jackson\jacksje01,2000,2006,G,6-4,204,June 7 1976,Detroit Mercy
Jim Jackson\jacksji01,1993,2006,G,6-6,220,October 14 1970,Ohio State
Josh Jackson\jacksjo02,2018,2019,F-G,6-8,207,February 10 1997,Kansas
Justin Jackson\jacksju01,2018,2020,G-F,6-7,210,March 28 1995,UNC
Luke Jackson\jackslu01,1965,1972,F-C,6-9,240,October 31 1941,University of Texas-Pan American
Luke Jackson\jackslu02,2005,2008,F,6-7,215,November 6 1981,Oregon
Marc Jackson\jacksma02,2001,2007,C,6-10,270,January 16 1975,Virginia Commonwealth Temple
Mark Jackson\jacksma01,1988,2004,G,6-1,180,April 1 1965,St. John's
Mervin Jackson\jacksme01,1969,1973,G,6-3,175,August 15 1946,Utah
Michael Jackson\jacksmi02,1988,1990,G,6-2,183,July 13 1964,Georgetown
Mike Jackson\jacksmi01,1973,1976,F,6-7,215,July 31 1949,California State University Los Angeles
Myron Jackson\jacksmy01,1987,1987,G,6-3,185,May 6 1964,Little Rock
Phil Jackson\jacksph01,1968,1980,F-C,6-8,220,September 17 1945,University of North Dakota
Pierre Jackson\jackspi01,2017,2017,G,5-10,180,August 29 1991,Baylor
Ralph Jackson\jacksra01,1985,1985,G,6-2,190,October 26 1962,UCLA
