Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Mfiondu Kabengele\kabenmf01,2020,2020,F,6-9,250,August 14 1997,Florida State
Whitey Kachan\kachawh01,1949,1949,G,6-2,175,September 15 1925,DePaul
George Kaftan\kaftage01,1949,1953,F,6-3,190,February 22 1928,Holy Cross
Ed Kalafat\kalafed01,1955,1957,C-F,6-6,245,October 13 1932,Minnesota
Chris Kaman\kamanch01,2004,2016,C,7-0,265,April 28 1982,Central Michigan University
Frank Kaminsky\kaminfr01,2016,2020,F-C,7-0,240,April 4 1993,Wisconsin
Enes Kanter\kanteen01,2012,2020,C,6-10,262,May 20 1992,
Ralph Kaplowitz\kaplora01,1947,1948,G-F,6-2,170,May 18 1919,NYU
Jason Kapono\kaponja01,2004,2012,F,6-8,213,February 4 1981,UCLA
Tony Kappen\kappeto01,1947,1947,G,5-10,165,April 13 1919,
Sergey Karasev\karasse01,2014,2016,G-F,6-7,208,October 26 1993,
Coby Karl\karlco01,2008,2010,G,6-5,215,March 6 1983,Boise State
George Karl\karlge01,1974,1978,G,6-2,190,May 12 1951,UNC
Ed Kasid\kasided01,1947,1947,G,5-11,185,August 13 1923,
Mario Kasun\kasunma01,2005,2006,C,7-1,260,April 5 1980,
Leo Katkaveck\katkale01,1949,1950,G,6-0,185,April 17 1923,NC State
Bob Kauffman\kauffbo01,1969,1975,F-C,6-8,240,July 13 1946,Guilford College
Sasha Kaun\kaunsa01,2016,2016,C,6-11,260,May 8 1985,Kansas
Wilbert Kautz\kautzwi01,1947,1947,G-F,6-0,180,September 7 1915,Loyola Chicago
Clarence Kea\keacl01,1981,1982,F,6-6,218,February 2 1959,Lamar University
Mike Kearns\kearnmi01,1955,1955,G,6-2,178,June 18 1929,Princeton
Tommy Kearns\kearnto01,1959,1959,G,5-11,185,October 6 1936,UNC
Adam Keefe\keefead01,1993,2001,F,6-9,230,February 22 1970,Stanford
Harold Keeling\keeliha01,1986,1986,G,6-4,185,September 18 1963,Santa Clara
Bill Keller\kellebi01,1970,1976,G,5-10,177,August 30 1947,Purdue
Gary Keller\kellega01,1968,1969,F-C,6-9,220,June 13 1944,Florida
Ken Keller\kelleke01,1947,1947,G,6-1,180,August 16 1922,St. John's
Rich Kelley\kelleri01,1976,1986,C-F,7-0,235,March 23 1953,Stanford
Clark Kellogg\kellocl01,1983,1987,F,6-7,225,July 2 1961,Ohio State
Arvesta Kelly\kellyar01,1968,1972,G,6-2,175,November 20 1945,Lincoln University of Missouri
Jerry Kelly\kellyje01,1947,1948,F,6-2,172,June 14 1918,Marshall
Ryan Kelly\kellyry01,2014,2017,F,6-11,230,April 9 1991,Duke
Tom Kelly\kellyto01,1949,1949,G,6-0,170,March 5 1924,NYU
Greg Kelser\kelsegr01,1980,1985,F,6-7,190,September 17 1957,Michigan State
