Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Skal Labissière\labissk01,2017,2020,F,6-10,216,March 18 1996,Kentucky
Reggie Lacefield\lacefre01,1969,1969,G-F,6-5,230,April 10 1945,Western Michigan
Edgar Lacey\laceyed01,1969,1969,F,6-6,190,August 2 1944,UCLA
Sam Lacey\laceysa01,1971,1983,C,6-10,235,March 28 1948,New Mexico State
Bob Lackey\lackebo01,1973,1974,G-F,6-5,200,April 4 1949,Marquette
Fred LaCour\lacoufr01,1961,1963,G-F,6-5,210,February 7 1938,San Francisco
Wendell Ladner\ladnewe01,1971,1975,F,6-5,220,October 6 1948,University of Southern Mississippi
Christian Laettner\laettch01,1993,2005,F-C,6-11,235,August 17 1969,Duke
Oliver Lafayette\lafayol01,2010,2010,G,6-2,190,May 6 1984,Houston
Raef LaFrentz\lafrera01,1999,2008,F-C,6-11,240,May 29 1976,Kansas
Tom LaGarde\lagarto01,1978,1985,C-F,6-10,220,February 10 1955,UNC
Bill Laimbeer\laimbbi01,1981,1994,C,6-11,245,May 19 1957,Notre Dame
Pete Lalich\lalicpe01,1947,1947,F,6-2,190,June 23 1920,Ohio University
Bo Lamar\lamarbo01,1974,1977,G,6-1,180,April 7 1951,LA-Lafayette
Doron Lamb\lambdo01,2013,2014,G,6-4,210,November 6 1991,Kentucky
Jeremy Lamb\lambje01,2013,2020,G-F,6-5,185,May 30 1992,UConn
John Lambert\lambejo01,1976,1982,C-F,6-10,225,January 14 1953,USC
Jeff Lamp\lampje01,1982,1989,F-G,6-6,195,March 9 1959,Virginia
Maciej Lampe\lampema01,2004,2006,C,6-11,275,February 5 1985,
Jim Lampley\lamplji01,1987,1987,C,6-10,230,July 2 1960,Vanderbilt Little Rock
Sean Lampley\lamplse01,2003,2004,F,6-7,227,September 3 1979,California
Carl Landry\landrca01,2008,2016,F,6-9,248,September 19 1983,Purdue
Marcus Landry\landrma01,2010,2010,F,6-7,230,November 1 1985,Wisconsin
Mark Landsberger\landsma01,1978,1984,F-C,6-8,215,May 21 1955,Minnesota Arizona State
Jerome Lane\laneje01,1989,1993,F,6-6,230,December 4 1966,Pitt
Andrew Lang\langan01,1989,2000,C,6-11,245,June 28 1966,Arkansas
Antonio Lang\langan02,1995,2000,F-G,6-8,205,May 15 1972,Duke
James Lang\langja01,2007,2007,C,6-10,285,October 17 1983,
Trajan Langdon\langdtr01,2000,2002,G,6-3,197,May 13 1976,Duke
Keith Langford\langfke01,2008,2008,G,6-4,215,September 15 1983,Kansas
