Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Sheldon Mac\mcclesh01,2017,2017,G,6-5,200,December 21 1992,Miami (FL)
Mike Macaluso\macalmi01,1974,1974,F,6-5,210,July 20 1951,Canisius
Ed Macauley\macaued01,1950,1959,C-F,6-8,185,March 22 1928,Saint Louis
Todd MacCulloch\maccuto01,2000,2003,C,7-0,280,January 27 1976,Washington
Ronnie MacGilvray\macgiro01,1955,1955,G,6-2,185,July 20 1930,St. John's
Scott Machado\machasc01,2013,2019,G,6-1,205,June 8 1990,Iona College
Arvydas Macijauskas\macijar01,2006,2006,G,6-4,214,January 19 1980,
Ollie Mack\mackol01,1980,1982,G,6-3,185,June 6 1957,East Carolina University
Sam Mack\macksa01,1993,2002,F-G,6-7,220,May 26 1970,Iowa State Tyler Junior College Houston
Shelvin Mack\macksh01,2012,2019,G,6-3,203,April 22 1990,Butler
Malcolm Mackey\mackema01,1994,1994,F-C,6-9,248,July 11 1970,Georgia Tech
Rudy Macklin\macklru01,1982,1984,F-G,6-7,205,February 19 1958,LSU
Vernon Macklin\macklve01,2012,2012,F,6-10,227,September 20 1986,Georgetown Florida
Johnny Macknowski\macknjo01,1950,1951,G-F,6-0,180,January 7 1923,Seton Hall
Don MacLean\macledo01,1993,2001,F,6-10,235,January 16 1970,UCLA
Daryl Macon\maconda01,2019,2020,G,6-2,185,November 29 1995,Arkansas
Mark Macon\maconma01,1992,1999,G,6-5,185,April 14 1969,Temple
J.P. Macura\macurjp01,2019,2019,G,6-5,205,June 5 1995,Xavier
Kyle Macy\macyky01,1981,1987,G,6-3,175,April 9 1957,Purdue Kentucky
Jack Maddox\maddoja01,1949,1949,F-G,6-3,185,December 10 1919,West Texas A&M University
Tito Maddox\maddoti01,2003,2003,G,6-4,190,June 7 1981,Fresno State
Gerald Madkins\madkige01,1994,1998,G,6-4,200,April 18 1969,UCLA
Mark Madsen\madsema01,2001,2009,F,6-9,240,January 28 1976,Stanford
Norm Mager\magerno01,1951,1951,F,6-5,185,March 23 1926,City College of New York
Josh Magette\magetjo01,2018,2020,G,6-1,160,November 28 1989,Alabama-Huntsville
Corey Maggette\maggeco01,2000,2013,F,6-6,218,November 12 1979,Duke
Dave Magley\magleda01,1983,1983,F,6-8,202,November 24 1959,Kansas
Jamaal Magloire\magloja01,2001,2012,C,6-11,259,May 21 1978,Kentucky
Randolph Mahaffey\mahafra01,1968,1971,F,6-7,210,September 28 1945,Clemson
Ian Mahinmi\mahinia01,2008,2020,C,6-11,262,November 5 1986,
John Mahnken\mahnkjo01,1947,1953,C,6-8,220,June 16 1922,Georgetown
Brian Mahoney\mahonbr01,1973,1973,G,6-3,175,December 17 1948,Manhattan College
Mo Mahoney\mahonmo01,1953,1954,F,6-2,205,November 20 1927,Brown University
Rick Mahorn\mahorri01,1981,1999,C-F,6-10,240,September 21 1958,Hampton
Dan Majerle\majerda01,1989,2002,G-F,6-6,215,September 9 1965,Central Michigan University
Renaldo Major\majorre01,2007,2007,F,6-7,200,May 7 1982,South Plains College Fresno State
Thon Maker\makerth01,2017,2020,F-C,7-0,221,February 25 1997,
Lionel Malamed\malamli01,1949,1949,G,5-9,150,November 15 1924,City College of New York
Jeff Malone\malonje01,1984,1996,G,6-4,205,June 28 1961,Mississippi State
Karl Malone\malonka01,1986,2004,F,6-9,250,July 24 1963,Louisiana Tech
Moses Malone\malonmo01,1975,1995,C-F,6-10,215,March 23 1955,
Matt Maloney\malonma01,1997,2003,G,6-3,192,December 6 1971,Vanderbilt University of Pennsylvania
Steve Malovic\malovst01,1980,1980,F,6-10,230,July 21 1956,USC San Diego State
Mike Maloy\maloymi01,1971,1973,F,6-7,215,May 10 1949,Davidson
Ted Manakas\manakte01,1974,1974,G,6-2,180,February 22 1951,Princeton
John Mandic\mandijo01,1949,1950,F-C,6-4,205,October 3 1919,Oregon State
Frank Mangiapane\mangifr01,1947,1947,G,5-10,195,August 5 1925,NYU
Terance Mann\mannte01,2020,2020,G-F,6-5,215,October 18 1996,Florida State
Danny Manning\mannida01,1989,2003,F-C,6-10,230,May 17 1966,Kansas
Ed Manning\mannied01,1968,1976,F,6-7,210,January 2 1944,Jackson State University
Guy Manning\mannigu01,1968,1969,F,6-6,195,February 4 1944,Prairie View A&M University
Rich Manning\manniri01,1996,1997,C,6-11,253,June 23 1970,Syracuse Washington
Pace Mannion\mannipa01,1984,1989,G,6-7,190,September 22 1960,Utah
Nick Mantis\mantini01,1960,1963,G,6-3,190,December 7 1935,Northwestern
Pete Maravich\maravpe01,1971,1980,G,6-5,197,June 22 1947,LSU
Press Maravich\maravpr01,1947,1947,G,6-0,185,August 29 1915,Davis & Elkins College
Devyn Marble\marblde01,2015,2016,G-F,6-6,200,September 21 1992,Iowa
Roy Marble\marblro01,1990,1994,G-F,6-6,190,December 13 1966,Iowa
Stephon Marbury\marbust01,1997,2009,G,6-2,180,February 20 1977,Georgia Tech
Šarūnas Marčiulionis\marcisa01,1990,1997,G,6-5,200,June 13 1964,
Saul Mariaschin\mariasa01,1948,1948,G,5-11,165,September 1 1924,Harvard University
Jack Marin\marinja01,1967,1977,F-G,6-7,200,October 12 1944,Duke
Shawn Marion\mariosh01,2000,2015,F,6-7,220,May 7 1978,UNLV
Boban Marjanović\marjabo01,2016,2020,C,7-4,290,August 15 1988,
Lauri Markkanen\markkla01,2018,2020,F-C,7-0,240,May 22 1997,Arizona
Damir Markota\markoda01,2007,2007,C,6-10,225,December 26 1985,
Sean Marks\marksse01,1999,2011,F-C,6-10,250,August 23 1975,California
Harvey Marlatt\marlaha01,1971,1973,G,6-3,185,August 26 1948,Eastern Michigan
Jim Marsh\marshji01,1972,1972,F,6-7,215,April 26 1946,USC
Ricky Marsh\marshri01,1978,1978,G,6-3,200,March 10 1954,Manhattan College
Donny Marshall\marshdo02,1996,2003,F,6-7,230,July 17 1972,UConn
Donyell Marshall\marshdo01,1995,2009,F,6-9,218,May 18 1973,UConn
Kendall Marshall\marshke01,2013,2016,G,6-4,200,August 19 1991,UNC
Rawle Marshall\marshra01,2006,2007,G-F,6-9,190,February 20 1982,Ball State University Oakland
Tom Marshall\marshto01,1955,1959,F-G,6-4,215,January 6 1931,Western Kentucky
Vester Marshall\marshve01,1974,1974,F,6-7,200,December 22 1948,Oklahoma
Bill Martin\martibi01,1986,1988,F,6-7,205,August 16 1962,Georgetown
Bob Martin\martibo01,1994,1995,C,7-0,250,October 7 1969,Minnesota
Brian Martin\martibr01,1986,1986,F,6-9,212,August 18 1962,Kansas
Caleb Martin\martica02,2020,2020,F,6-5,205,September 28 1995,NC State Nevada
Cartier Martin\martica01,2009,2015,F,6-7,220,November 20 1984,Kansas State
Cody Martin\martico01,2020,2020,G-F,6-5,205,September 28 1995,NC State Nevada
Cuonzo Martin\marticu01,1996,1997,G-F,6-5,213,September 23 1971,Purdue
Darrick Martin\martida01,1995,2008,G,5-11,170,March 6 1971,UCLA
Dino Martin\martidi01,1947,1948,G,5-8,160,May 25 1920,Georgetown
Don Martin\martido01,1947,1949,C-F,6-7,210,February 7 1920,Central Missouri State University
Fernando Martín\martife01,1987,1987,C,6-9,220,March 25 1962,
Jarell Martin\martija01,2016,2019,F,6-10,239,May 24 1994,LSU
Jeff Martin\martije01,1990,1991,G,6-5,195,January 14 1967,Murray State
Kelan Martin\martike03,2020,2020,F,6-5,235,August 3 1995,Butler
Kenyon Martin\martike01,2001,2015,F,6-9,234,December 30 1977,Cincinnati
Kevin Martin\martike02,2005,2016,G,6-7,199,February 1 1983,Western Carolina University
LaRue Martin\martila01,1973,1976,C,6-11,208,March 30 1950,Loyola Chicago
Maurice Martin\martima01,1987,1988,F-G,6-6,200,July 2 1964,Saint Joseph's
Phil Martin\martiph01,1955,1955,G,6-3,190,April 2 1928,Toledo
Slater Martin\martisl01,1950,1960,G,5-10,170,October 22 1925,Texas
Whitey Martin\martiwh01,1962,1962,G,6-2,185,April 11 1939,St. Bonaventure
Jamal Mashburn\mashbja01,1994,2004,F,6-8,240,November 29 1972,Kentucky
Al Masino\masinal01,1953,1954,G,5-10,174,February 5 1928,Canisius
Anthony Mason\masonan01,1990,2003,F,6-7,250,December 14 1966,Tennessee State
Desmond Mason\masonde01,2001,2010,F,6-7,224,October 11 1977,Oklahoma State
Frank Mason\masonfr01,2018,2020,G,5-11,190,April 3 1994,Kansas
Roger Mason\masonro01,2003,2014,G,6-5,200,September 10 1980,Virginia
Tony Massenburg\masseto01,1991,2005,F,6-9,220,July 31 1967,Maryland
Eddie Mast\masted01,1971,1973,F-C,6-9,220,October 3 1948,Temple
Yante Maten\matenya01,2019,2019,F,6-8,240,August 14 1996,Georgia
Garrison Mathews\mathega01,2020,2020,G,6-5,215,October 24 1996,Lipscomb
Mangok Mathiang\mathima01,2018,2018,C-F,6-10,230,October 8 1992,Louisville
Johnny Mathis\mathijo01,1968,1968,F,6-6,220,July 14 1943,Savannah State University
Wes Matthews\matthwe01,1981,1990,G,6-1,170,August 24 1959,Wisconsin
Wesley Matthews\matthwe02,2010,2020,G,6-4,220,October 14 1986,Marquette
Ariel Maughan\maughar01,1947,1951,F,6-4,190,February 23 1923,Utah State University
Marlon Maxey\maxeyma01,1993,1994,F,6-8,250,February 19 1969,Minnesota Texas-El Paso
Jason Maxiell\maxieja01,2006,2015,F,6-7,260,February 18 1983,Cincinnati
Cedric Maxwell\maxwece01,1978,1988,F,6-8,205,November 21 1955,UNC Charlotte
Vernon Maxwell\maxweve01,1989,2001,G,6-4,180,September 12 1965,Florida
Don May\maydo01,1969,1975,F,6-4,200,January 3 1946,Dayton
Scott May\maysc01,1977,1983,F,6-7,215,March 19 1954,Indiana
Sean May\mayse01,2006,2010,F,6-9,266,April 4 1984,UNC
Lee Mayberry\maybele01,1993,1999,G,6-1,172,June 12 1970,Arkansas
Clyde Mayes\mayescl01,1976,1977,F,6-8,225,March 17 1953,Furman University
Tharon Mayes\mayesth01,1992,1992,G,6-3,175,September 9 1968,Florida State
Bill Mayfield\mayfibi01,1981,1981,F,6-7,205,October 17 1957,Iowa
Ken Mayfield\mayfike01,1976,1976,G,6-2,185,May 11 1948,Tuskegee University
Eric Maynor\maynoer01,2010,2014,G,6-3,175,June 11 1987,Virginia Commonwealth
O.J. Mayo\mayooj01,2009,2016,G,6-5,210,November 5 1987,USC
Travis Mays\maystr01,1991,1993,G,6-2,190,June 19 1968,Texas
Matt Mazza\mazzama01,1950,1950,F,6-3,210,September 23 1923,Michigan State
Luc Mbah a Moute\mbahalu01,2009,2019,F,6-8,230,September 9 1986,UCLA
Bob McAdoo\mcadobo01,1973,1986,C-F,6-9,210,September 25 1951,UNC
James Michael McAdoo\mcadoja01,2015,2018,F,6-9,230,January 4 1993,UNC
Ken McBride\mcbrike01,1955,1955,G-F,6-3,190,May 23 1929,University of Maryland Eastern Shore
Tahjere McCall\mccalta01,2019,2019,G,6-5,195,August 17 1994,Tennessee State
Ray McCallum\mccalra01,2014,2016,G,6-3,190,June 12 1991,Detroit Mercy
Bob McCann\mccanbo01,1990,1998,F,6-6,244,April 22 1964,Upsala College Morehead State University
Brendan McCann\mccanbr01,1958,1960,G,6-2,178,July 5 1935,St. Bonaventure
Mel McCants\mccanme01,1990,1990,F,6-8,240,August 19 1967,Purdue
Rashad McCants\mccanra01,2006,2009,G,6-4,207,September 25 1984,UNC
Mike McCarron\mccarmi01,1947,1950,G,5-11,180,March 2 1922,Seton Hall
Andre McCarter\mccaran01,1977,1981,G,6-3,190,August 25 1953,UCLA
Willie McCarter\mccarwi01,1970,1972,G,6-3,175,July 26 1946,Drake University
Johnny McCarthy\mccarjo01,1957,1964,G,6-1,185,April 25 1934,Canisius
Howie McCarty\mccarho01,1947,1947,F-G,6-2,190,,Wayne State University
Kelly McCarty\mccarke01,1999,1999,G-F,6-7,200,August 24 1975,University of Southern Mississippi
Walter McCarty\mccarwa01,1997,2006,F,6-10,230,February 1 1974,Kentucky
Amal McCaskill\mccasam01,1997,2004,F-C,6-11,235,October 28 1973,Marquette
Patrick McCaw\mccawpa01,2017,2020,G,6-7,185,October 25 1995,UNLV
Dwayne McClain\mccladw01,1986,1986,G,6-6,185,February 7 1963,Villanova
Ted McClain\mcclate01,1972,1979,G,6-1,180,August 30 1946,Tennessee State
Dan McClintock\mcclida01,2001,2001,C,7-0,270,April 19 1977,Northern Arizona University
Jack McCloskey\mccloja01,1953,1953,G,6-2,190,September 19 1925,University of Pennsylvania
George McCloud\mccloge01,1990,2002,G-F,6-6,205,May 27 1967,Florida State
CJ McCollum\mccolcj01,2014,2020,G,6-3,197,September 19 1991,Lehigh
John McConathy\mcconjo01,1952,1952,F,6-5,195,April 9 1930,Northwestern State University
Bucky McConnell\mcconbu01,1953,1953,G,5-10,170,July 1 1928,Marshall
