Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Charles O'Bannon\obannch01,1998,1999,G-F,6-5,209,February 22 1975,UCLA
Ed O'Bannon\obanned01,1996,1997,F,6-8,222,August 14 1972,UCLA
John O'Boyle\oboyljo01,1953,1953,G,6-2,185,March 7 1928,Colorado State
Bob O'Brien\obriebo01,1948,1949,F,6-4,190,January 26 1927,Pepperdine
J.J. O'Brien\obriejj01,2016,2016,F,6-7,228,April 8 1992,San Diego State
Jim O'Brien\obrieji02,1974,1975,F,6-7,200,November 7 1951,Maryland
Jimmy O'Brien\obrieji01,1972,1975,G,6-1,170,April 9 1950,Boston College
Ralph O'Brien\obriera01,1952,1953,G,5-9,160,April 8 1928,Butler
Johnny O'Bryant\obryajo01,2015,2018,F-C,6-9,257,June 1 1993,LSU
Patrick O'Bryant\obryapa01,2007,2010,C,7-0,260,June 20 1986,Bradley
Dermie O'Connell\oconnde01,1949,1950,G,6-0,174,April 13 1928,Holy Cross
Andy O'Donnell\odonnan01,1950,1950,G,6-1,180,March 10 1925,Loyola College in Maryland
Buddy O'Grady\ogradbu01,1947,1949,G,5-11,160,January 19 1920,Georgetown
Fran O'Hanlon\ohanlfr01,1971,1971,G,6-1,175,August 24 1948,Villanova
Dick O'Keefe\okeefdi01,1948,1951,G-F,6-2,185,September 29 1923,Santa Clara
Tommy O'Keefe\okeefto01,1951,1951,G,6-2,185,June 3 1928,Georgetown
Mike O'Koren\okoremi01,1981,1988,F-G,6-7,207,February 7 1958,UNC
Grady O'Malley\omallgr01,1970,1970,F,6-5,205,April 25 1948,Manhattan College
Jermaine O'Neal\onealje01,1997,2014,F-C,6-11,226,October 13 1978,
Shaquille O'Neal\onealsh01,1993,2011,C,7-1,325,March 6 1972,LSU
Royce O'Neale\onealro01,2018,2020,F,6-4,226,June 5 1993,Baylor
Mike O'Neill\oneilmi01,1953,1953,F,6-3,210,August 11 1928,California
Kyle O'Quinn\oquinky01,2013,2020,F-C,6-9,250,March 26 1990,Norfolk State
Kevin O'Shea\osheake01,1951,1953,G,6-2,175,July 10 1925,Notre Dame
Garland O'Shields\oshiega01,1947,1947,G-F,6-1,195,May 23 1921,Tennessee
Dan O'Sullivan\osullda01,1991,1996,C,6-10,250,March 3 1968,Fordham
Charles Oakley\oaklech01,1986,2004,F-C,6-8,225,December 18 1963,Virginia Union University
Fabricio Oberto\obertfa01,2006,2011,C-F,6-10,245,March 21 1975,
Daniel Ochefu\ochefda01,2017,2017,C,6-11,245,December 15 1993,Villanova
Greg Oden\odengr01,2009,2014,C,7-0,250,January 22 1988,Ohio State
Lamar Odom\odomla01,2000,2013,F,6-10,220,November 6 1979,Rhode Island
Bud Ogden\ogdenbu01,1970,1971,F,6-6,215,December 29 1946,Santa Clara
Ralph Ogden\ogdenra01,1971,1971,F,6-5,205,January 25 1948,Santa Clara
Alan Ogg\oggal01,1991,1993,C,7-2,240,July 5 1967,University of Alabama at Birmingham
Don Ohl\ohldo01,1961,1970,G,6-3,190,April 18 1936,Illinois
Tim Ohlbrecht\ohlbrti01,2013,2013,C,6-11,255,August 30 1988,
Semi Ojeleye\ojelese01,2018,2020,F,6-6,235,December 5 1994,Duke SMU
Emeka Okafor\okafoem01,2005,2018,C-F,6-10,252,September 28 1982,UConn
Jahlil Okafor\okafoja01,2016,2020,C-F,6-10,275,December 15 1995,Duke
Elie Okobo\okoboel01,2019,2020,G,6-3,190,October 23 1997,
Josh Okogie\okogijo01,2019,2020,G,6-4,212,September 1 1998,Georgia Tech
KZ Okpala\okpalkz01,2020,2020,F,6-8,215,April 28 1999,Stanford
Mehmet Okur\okurme01,2003,2012,C-F,6-11,249,May 26 1979,
Victor Oladipo\oladivi01,2014,2019,G,6-4,210,May 4 1992,Indiana
Hakeem Olajuwon\olajuha01,1985,2002,C,7-0,255,January 21 1963,Houston
Mark Olberding\olberma01,1976,1987,F,6-8,225,April 21 1956,Minnesota
Jawann Oldham\oldhaja01,1981,1991,C,7-0,215,July 4 1957,Seattle University
John Oldham\oldhajo01,1950,1951,G,6-3,175,June 22 1923,Western Kentucky
Frank Oleynick\oleynfr01,1976,1977,G,6-2,185,February 20 1955,Seattle University
John Olive\olivejo01,1979,1980,F,6-7,210,March 1 1955,Villanova
Brian Oliver\olivebr01,1991,1998,G,6-4,210,June 1 1968,Georgia Tech
Dean Oliver\olivede01,2002,2003,G,5-11,180,November 5 1978,Iowa
Jimmy Oliver\oliveji01,1992,1999,G-F,6-5,205,July 12 1969,Purdue
Kevin Ollie\ollieke01,1998,2010,G,6-4,195,December 27 1972,UConn
Gene Ollrich\ollrige01,1950,1950,G,5-11,160,June 30 1922,Drake University
Michael Olowokandi\olowomi01,1999,2007,C,7-0,269,April 3 1975,University of the Pacific
Bud Olsen\olsenbu01,1963,1970,F-C,6-8,220,July 25 1940,Louisville
Kelly Olynyk\olynyke01,2014,2020,C-F,6-11,240,April 19 1991,Gonzaga
Miye Oni\onimi01,2020,2020,G,6-5,206,August 4 1997,Yale
Arinze Onuaku\onuakar01,2014,2017,C,6-9,255,July 13 1987,Syracuse
Chinanu Onuaku\onuakch01,2017,2018,F-C,6-10,245,November 1 1996,Louisville
Barry Orms\ormsba01,1969,1970,G,6-3,190,May 1 1946,Saint Louis
Johnny Orr\orrjo01,1950,1950,F,6-3,195,June 10 1927,Beloit College
Louis Orr\orrlo01,1981,1988,F,6-8,175,May 7 1958,Syracuse
José Ortiz\ortizjo01,1989,1990,F,6-10,225,October 25 1963,Oregon State
Daniel Orton\ortonda01,2012,2014,C-F,6-10,255,August 6 1990,Kentucky
Chuck Osborne\osborch01,1962,1962,F,6-6,210,January 21 1939,Western Kentucky
Cedi Osman\osmande01,2018,2020,F,6-7,215,April 8 1995,
Wally Osterkorn\osterwa01,1952,1955,F-C,6-5,215,July 6 1928,Illinois
Greg Ostertag\ostergr01,1996,2006,C,7-2,280,March 6 1973,Kansas
Matt Othick\othicma01,1993,1993,G,6-2,165,March 16 1969,Arizona
Don Otten\ottendo01,1950,1953,C,6-10,240,April 18 1921,Bowling Green
Mac Otten\ottenma01,1950,1950,F-C,6-7,220,December 16 1925,Bowling Green
Kelly Oubre\oubreke01,2016,2020,F,6-7,205,December 9 1995,Kansas
Bo Outlaw\outlabo01,1994,2008,F,6-8,210,April 13 1971,South Plains College Houston
Travis Outlaw\outlatr01,2004,2014,F,6-9,210,September 18 1984,
Claude Overton\overtcl01,1953,1953,G,6-2,195,December 16 1927,East Central University
Doug Overton\overtdo01,1993,2004,G,6-3,190,August 3 1969,La Salle
Andre Owens\owensan01,2006,2008,G,6-4,200,October 31 1980,Indiana Houston
Billy Owens\owensbi01,1992,2001,F-G,6-8,220,May 1 1969,Syracuse
Chris Owens\owensch01,2003,2003,F,6-7,245,March 1 1979,Tulane Texas
Eddie Owens\owensed01,1978,1978,F,6-7,210,December 26 1953,UNLV
Jim Owens\owensji01,1974,1975,F,6-5,200,May 1 1950,Arizona State
Keith Owens\owenske01,1992,1992,F,6-7,225,May 31 1969,UCLA
Larry Owens\owensla01,2011,2012,F,6-7,210,January 8 1983,Oral Roberts
Red Owens\owensre01,1950,1952,G-F,6-3,185,September 2 1925,Baylor
Tom Owens\owensto01,1972,1983,C-F,6-10,215,June 28 1949,South Carolina
Ray Owes\owesra01,1997,1997,F,6-9,224,December 11 1972,Arizona
Olumide Oyedeji\oyedeol01,2001,2003,C,6-10,240,May 11 1981,
