Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Joe Pace\pacejo01,1977,1978,C,6-10,220,December 18 1953,Coppin State University
Zaza Pachulia\pachuza01,2004,2019,C,6-11,270,February 10 1984,
Robert Pack\packro01,1992,2004,G,6-2,180,February 3 1969,USC
Wayne Pack\packwa01,1975,1975,G,6-0,165,July 5 1950,Tennessee Technological University
Gerald Paddio\paddige01,1991,1994,F-G,6-7,205,April 21 1965,UNLV
Scott Padgett\padgesc01,2000,2007,F,6-9,240,April 19 1976,Kentucky
Dana Pagett\pagetda01,1972,1972,G,6-2,180,March 29 1949,USC
Marcus Paige\paigema01,2018,2018,G,6-1,175,September 11 1993,UNC
Fred Paine\painefr01,1949,1949,F,6-5,210,December 7 1925,Westminster College of Pennsylvania
Milt Palacio\palacmi01,2000,2006,G,6-3,195,February 7 1978,Midland College Colorado State
Togo Palazzi\palazto01,1955,1960,F-G,6-4,205,August 8 1932,Holy Cross
Bud Palmer\palmebu01,1947,1949,F-C,6-4,180,September 14 1921,Princeton
Errol Palmer\palmeer01,1968,1968,F,6-5,195,,DePaul
Jim Palmer\palmeji01,1959,1961,F-C,6-8,224,June 8 1933,Dayton
Walter Palmer\palmewa01,1991,1993,C-F,7-1,215,October 23 1968,Dartmouth College
Andy Panko\pankoan01,2001,2001,F,6-9,222,November 27 1977,Lebanon Valley College
Georgios Papagiannis\papagge01,2017,2018,C,7-1,240,July 3 1997,
Kostas Papanikolaou\papanko01,2015,2016,F,6-8,225,July 31 1990,
Jannero Pargo\pargoja01,2003,2015,G,6-1,175,October 22 1979,Arkansas
Jeremy Pargo\pargoje01,2012,2013,G,6-2,219,March 17 1986,Gonzaga
Easy Parham\parhaea01,1949,1951,F-G,6-3,200,December 27 1921,Texas Wesleyan University
Robert Parish\parisro01,1977,1997,C,7-0,230,August 30 1953,Centenary College of Louisiana
Med Park\parkme01,1956,1960,G-F,6-2,205,April 11 1933,Missouri
Anthony Parker\parkean01,1998,2012,G,6-6,215,June 19 1975,Bradley
Jabari Parker\parkeja01,2015,2020,F,6-8,245,March 15 1995,Duke
Smush Parker\parkesm01,2003,2008,G,6-4,190,June 1 1981,Fordham
Sonny Parker\parkeso01,1977,1982,F-G,6-6,200,March 22 1955,Texas A&M
Tony Parker\parketo01,2002,2019,G,6-2,185,May 17 1982,
Barry Parkhill\parkhba01,1974,1976,G,6-4,185,May 10 1951,Virginia
Jack Parkinson\parkija01,1950,1950,G,6-0,174,March 4 1924,Kentucky
Charles Parks\parksch01,1969,1969,F,6-5,210,,Idaho State University
Cherokee Parks\parksch02,1996,2004,C-F,6-11,235,October 11 1972,Duke
Richard Parks\parksri01,1968,1968,F,6-7,235,October 28 1943,Saint Louis
Jack Parr\parrja01,1959,1959,C,6-9,220,March 13 1936,Kansas State
Doyle Parrack\parrado01,1947,1947,F-G,6-0,165,December 6 1921,Oklahoma State
Charlie Parsley\parslch01,1950,1950,G,6-2,175,October 13 1925,Western Kentucky
Chandler Parsons\parsoch01,2012,2020,F,6-9,230,October 25 1988,Florida
Eric Paschall\pascher01,2020,2020,F,6-6,255,November 4 1996,Fordham Villanova
Anžejs Pasečņiks\pasecan01,2020,2020,C,7-1,220,December 20 1995,
Žarko Paspalj\paspaza01,1990,1990,F,6-9,215,March 27 1966,
Marty Passaglia\passama01,1947,1949,G,6-1,170,April 22 1919,Santa Clara
George Pastushok\pastuge01,1947,1947,G,6-1,195,July 13 1922,St. John's
Myles Patrick\patrimy01,1981,1981,F,6-8,220,November 19 1954,Auburn
Stan Patrick\patrist01,1950,1950,F-G,6-2,185,May 5 1922,Illinois
Andrae Patterson\pattean01,1999,2000,F,6-9,238,November 12 1975,Indiana
George Patterson\pattege01,1968,1968,C-F,6-8,230,November 26 1939,Toledo
Lamar Patterson\pattela01,2016,2017,G-F,6-5,225,August 12 1991,Pitt
Patrick Patterson\pattepa01,2011,2020,F,6-8,230,March 14 1989,Kentucky
Ruben Patterson\patteru01,1999,2008,F,6-5,224,July 31 1975,Cincinnati
Steve Patterson\pattest01,1972,1976,C,6-9,225,June 24 1948,UCLA
Tom Patterson\patteto01,1973,1974,F,6-6,220,October 15 1948,Ouachita Baptist University
Worthy Patterson\pattewo01,1958,1958,G,6-2,175,June 17 1931,UConn
Justin Patton\pattoju01,2018,2020,C,6-11,241,June 14 1997,Creighton
Brandon Paul\paulbr01,2018,2018,G,6-4,200,April 30 1991,Illinois
