Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Ivan Rabb\rabbiv01,2018,2019,F,6-10,220,February 4 1997,California
Luther Rackley\rackllu01,1970,1974,C,6-10,220,June 11 1946,Xavier
Howie Rader\raderho01,1949,1949,G-F,6-1,190,March 29 1921,Long Island University
Mark Radford\radfoma01,1982,1983,G,6-4,190,July 5 1959,Oregon State
Wayne Radford\radfowa01,1979,1979,G,6-3,205,May 29 1956,Indiana
Vladimir Radmanović\radmavl01,2002,2013,F,6-10,227,November 19 1980,
Aleksandar Radojević\radojal01,2000,2005,C,7-3,250,August 8 1976,Barton County Community College
Frank Radovich\radovfr01,1962,1962,F,6-8,235,March 3 1938,Indiana
Moe Radovich\radovmo01,1953,1953,G,6-0,160,May 5 1929,Wyoming
Miroslav Raduljica\radulmi01,2014,2015,C,7-0,250,January 5 1988,
Ray Radziszewski\radzira01,1958,1958,F,6-5,210,March 1 1935,Saint Joseph's
Ray Ragelis\ragelra01,1952,1952,F,6-4,205,December 10 1928,Northwestern
Sherwin Raiken\raikesh01,1953,1953,G,6-2,185,October 29 1928,Villanova
Ed Rains\rainsed01,1982,1983,F,6-7,190,December 24 1956,University of South Alabama
Igor Rakočević\rakocig01,2003,2003,G,6-3,183,March 29 1978,
Kurt Rambis\rambiku01,1982,1995,F,6-8,213,February 25 1958,Santa Clara
Peter John Ramos\ramospe01,2005,2005,C,7-3,275,May 13 1985,
Cal Ramsey\ramseca01,1960,1961,F,6-4,200,July 13 1937,NYU
Frank Ramsey\ramsefr01,1955,1964,F-G,6-3,190,July 13 1931,Kentucky
Ray Ramsey\ramsera01,1949,1949,G-F,6-2,165,July 18 1921,Bradley
Mark Randall\randama01,1992,1995,F,6-8,235,September 30 1967,Kansas
Chasson Randle\randlch01,2017,2019,G,6-2,185,February 5 1993,Stanford
Julius Randle\randlju01,2015,2020,F-C,6-8,250,November 29 1994,Kentucky
Anthony Randolph\randoan01,2009,2014,F,6-10,205,July 15 1989,LSU
Shavlik Randolph\randosh01,2006,2015,F,6-10,240,November 24 1983,Duke
Zach Randolph\randoza01,2002,2018,F-C,6-9,250,July 16 1981,Michigan State
Wally Rank\rankwa01,1981,1981,F-G,6-6,220,March 1 1958,San Jose State
Kelvin Ransey\ranseke01,1981,1986,G,6-1,170,May 3 1958,Ohio State
Sam Ranzino\ranzisa01,1952,1952,G,6-1,185,June 23 1928,NC State
Bobby Rascoe\rascobo01,1968,1970,G-F,6-4,205,July 22 1940,Western Kentucky
Blair Rasmussen\rasmubl01,1986,1993,C,7-0,250,November 13 1962,Oregon
Xavier Rathan-Mayes\rathaxa01,2018,2018,G,6-4,208,April 29 1994,Florida State
George Ratkovicz\ratkoge01,1950,1955,C-F,6-6,220,November 13 1922,
Ed Ratleff\ratleed01,1974,1978,F-G,6-6,195,March 29 1950,Cal State Long Beach
Mike Ratliff\ratlimi01,1973,1974,C,6-10,230,June 7 1951,University of Wisconsin-Eau Claire
Theo Ratliff\ratlith01,1996,2011,C-F,6-10,225,April 17 1973,Wyoming
Andy Rautins\rautian01,2011,2011,G,6-4,190,November 2 1986,Syracuse
Leo Rautins\rautile01,1984,1985,F,6-8,215,March 20 1960,Minnesota Syracuse
Allan Ray\rayal01,2007,2007,G,6-2,190,June 17 1984,Villanova
Clifford Ray\raycl01,1972,1981,C,6-9,230,January 21 1949,Oklahoma
Don Ray\raydo01,1950,1950,F-C,6-5,190,July 8 1921,Western Kentucky
James Ray\rayja01,1981,1983,F,6-8,215,July 27 1957,Jacksonville University
Jim Ray\rayji01,1957,1960,G,6-1,180,January 12 1934,Toledo
Jimmy Rayl\raylji01,1968,1969,G,6-2,175,June 21 1941,Indiana
Craig Raymond\raymocr01,1969,1973,C,6-11,235,April 5 1945,BYU
Dino Rađa\radjadi01,1994,1997,F-C,6-11,225,April 24 1967,
Connie Rea\reaco01,1954,1954,G-F,6-3,175,January 27 1931,Centenary College of Louisiana
Joe Reaves\reavejo01,1974,1974,F,6-5,210,May 27 1950,Bethel College
Željko Rebrača\rebraze01,2002,2006,C,7-0,257,April 9 1972,
Eldridge Recasner\recasel01,1995,2002,G,6-3,190,December 14 1967,Washington
Michael Redd\reddmi01,2001,2012,G,6-6,220,August 24 1979,Ohio State
Cam Reddish\reddica01,2020,2020,F,6-8,208,September 1 1999,Duke
Frank Reddout\reddofr01,1954,1954,F,6-5,195,March 4 1931,Syracuse
J.J. Redick\redicjj01,2007,2020,G,6-3,200,June 24 1984,Duke
Marlon Redmond\redmoma01,1979,1980,G,6-6,188,April 15 1955,San Francisco
Davon Reed\reedda01,2018,2019,G,6-5,208,June 11 1995,Miami (FL)
Hub Reed\reedhu01,1959,1965,C-F,6-9,215,October 4 1936,Oklahoma City University
Justin Reed\reedju01,2005,2007,F,6-8,240,January 16 1982,Ole Miss
Ron Reed\reedro01,1966,1967,F,6-5,205,November 2 1942,Notre Dame
Willie Reed\reedwi02,2016,2018,F-C,6-10,220,May 16 1990,Saint Louis
Willis Reed\reedwi01,1965,1974,C-F,6-9,235,June 25 1942,Grambling State University
Bryant Reeves\reevebr01,1996,2001,C,7-0,275,June 8 1973,Oklahoma State
Khalid Reeves\reevekh01,1995,2000,G,6-3,199,July 15 1972,Arizona
Richie Regan\reganri01,1956,1958,G,6-2,180,November 30 1930,Seton Hall
Don Rehfeldt\rehfedo01,1951,1952,F,6-7,210,January 7 1927,Wisconsin
Billy Reid\reidbi01,1981,1981,G,6-5,190,September 10 1957,New Mexico San Francisco
Don Reid\reiddo01,1996,2003,F,6-8,250,December 30 1973,Georgetown
J.R. Reid\reidjr01,1990,2001,F,6-9,247,March 31 1968,UNC
Jim Reid\reidji01,1968,1968,F,6-6,210,August 3 1945,Winston-Salem State University
Naz Reid\reidna01,2020,2020,F,6-9,264,August 26 1999,LSU
Robert Reid\reidro01,1978,1991,F-G,6-8,205,August 30 1955,St. Mary's University
