Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Arvydas Sabonis\sabonar01,1996,2003,C,7-3,279,December 19 1964,
Domantas Sabonis\sabondo01,2017,2020,F-C,6-11,240,May 3 1996,Gonzaga
Robert Sacre\sacrero01,2013,2016,C,7-0,270,June 6 1989,Gonzaga
Ed Sadowski\sadowed01,1947,1950,C,6-5,240,July 11 1917,Seton Hall
Kenny Sailors\sailoke01,1947,1951,G,5-10,175,January 14 1921,Wyoming
John Salley\sallejo01,1987,2000,F-C,6-11,230,May 16 1964,Georgia Tech
John Salmons\salmojo01,2003,2015,G,6-7,210,December 12 1979,Miami (FL)
Al Salvadori\salvaal01,1968,1968,F,6-9,220,May 6 1945,South Carolina
Kevin Salvadori\salvake01,1997,1998,C,7-0,231,December 30 1970,UNC
Soumaila Samake\samakso01,2001,2003,C,7-0,230,March 18 1978,
Cheikh Samb\sambch01,2008,2009,C,7-1,245,October 22 1984,
Brandon Sampson\sampsbr01,2019,2019,G,6-5,184,May 1 1997,LSU
JaKarr Sampson\sampsja02,2015,2020,G-F,6-7,215,March 20 1993,St. John's
Jamal Sampson\sampsja01,2003,2007,F-C,6-11,235,May 15 1983,California
Ralph Sampson\sampsra01,1984,1992,C-F,7-4,228,July 7 1960,Virginia
Samardo Samuels\samuesa01,2011,2013,F,6-9,260,January 9 1989,Louisville
Pepe Sánchez\sanchpe01,2001,2003,G,6-4,195,May 8 1977,Temple
Al Sanders\sandeal01,1973,1973,F,6-7,240,January 1 1950,LSU
Frankie Sanders\sandefr01,1979,1981,F-G,6-6,200,January 23 1957,Southern University and A&M College
Jeff Sanders\sandeje01,1990,1993,F,6-8,225,January 14 1966,Georgia Southern University
Larry Sanders\sandela01,2011,2017,C-F,6-11,235,November 21 1988,Virginia Commonwealth
Melvin Sanders\sandeme01,2006,2006,G-F,6-5,210,January 3 1981,Seward County Community College Oklahoma State
Mike Sanders\sandemi01,1983,1993,F-G,6-6,210,May 7 1960,UCLA
Tom Sanders\sandeto01,1961,1973,F,6-6,210,November 8 1938,NYU
Ron Sanford\sanforo01,1972,1972,F,6-9,215,June 11 1946,New Mexico
Daniel Santiago\santida01,2001,2005,C,7-1,256,June 24 1976,New Mexico Saint Vincent College
Bob Santini\santibo01,1956,1956,F,6-5,190,February 17 1935,Iona College
Wayne Sappleton\sapplwa01,1985,1985,F,6-9,215,November 17 1960,Loyola Chicago
Dario Šarić\saricda01,2017,2020,F,6-10,225,April 8 1994,
Jason Sasser\sasseja01,1997,1999,F,6-7,225,January 13 1974,Texas Tech
Jeryl Sasser\sasseje01,2002,2003,G,6-6,200,February 13 1979,SMU
Tomáš Satoranský\satorto01,2017,2020,G,6-7,198,October 30 1991,
Kenny Satterfield\satteke01,2002,2003,G,6-2,186,April 10 1981,Cincinnati
