Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Žan Tabak\tabakza01,1995,2001,C,7-0,245,June 15 1970,
Yuta Tabuse\tabusyu01,2005,2005,G,5-9,165,October 5 1980,Brigham Young University Hawaii
Chris Taft\taftch01,2006,2006,F,6-10,260,March 10 1985,Pitt
Sid Tanenbaum\tanensi01,1948,1949,G,6-0,160,October 8 1925,NYU
Dragan Tarlać\tarladr01,2001,2001,C,6-10,260,May 9 1973,
Roy Tarpley\tarplro01,1987,1995,C-F,6-11,230,November 28 1964,Michigan
Levern Tart\tartle01,1968,1971,G-F,6-2,195,June 1 1942,Bradley
Earl Tatum\tatumea01,1977,1980,G-F,6-5,185,July 26 1953,Marquette
Jayson Tatum\tatumja01,2018,2020,F,6-8,204,March 3 1998,Duke
Edy Tavares\tavarwa01,2016,2017,C,7-3,260,March 22 1992,
Anthony Taylor\tayloan01,1989,1989,G,6-4,175,November 30 1965,Oregon
Brian Taylor\taylobr01,1973,1982,G,6-2,185,June 9 1951,Princeton
Donell Taylor\taylodo01,2006,2007,G,6-6,180,July 26 1982,Okaloosa-Walton Community College University of Alabama at Birmingham
Fatty Taylor\taylofa01,1970,1977,G,6-0,175,March 13 1946,La Salle
Fred Taylor\taylofr01,1971,1972,G-F,6-5,180,February 5 1948,University of Texas-Pan American
Isaiah Taylor\taylois01,2017,2018,G,6-3,170,July 11 1994,Texas
Jay Taylor\tayloja01,1990,1990,G,6-3,190,October 3 1967,Eastern Illinois University
Jeff Taylor\tayloje01,1983,1987,G,6-4,175,January 1 1960,Texas Tech
Jeffery Taylor\tayloje03,2013,2015,F,6-7,225,May 23 1989,Vanderbilt
Jermaine Taylor\tayloje02,2010,2011,G,6-4,210,December 8 1986,Central Florida
Johnny Taylor\taylojo01,1998,2000,F,6-9,220,June 4 1974,Indian Hills Community College Chattanooga
Leonard Taylor\taylole01,1990,1990,F,6-8,220,May 2 1966,California
Maurice Taylor\tayloma01,1998,2007,F,6-9,260,October 30 1976,Michigan
Mike Taylor\taylomi01,2009,2009,G,6-2,165,January 21 1986,Iowa State
Oliver Taylor\taylool01,1971,1974,G-F,6-2,194,March 7 1947,Houston
Ronald Taylor\tayloro01,1970,1972,C,7-1,265,November 21 1947,USC
Tyshawn Taylor\tayloty01,2013,2014,G,6-3,185,April 12 1990,Kansas
Vince Taylor\taylovi01,1983,1983,G-F,6-5,180,September 11 1960,Duke
Terry Teagle\teaglte01,1983,1993,F-G,6-5,195,April 10 1960,Baylor
Jeff Teague\teaguje01,2010,2020,G,6-3,195,June 10 1988,Wake Forest
Marquis Teague\teaguma01,2013,2018,G,6-2,189,February 28 1993,Kentucky
Mirza Teletović\teletmi01,2013,2018,F,6-9,242,September 18 1985,
Sebastian Telfair\telfase01,2005,2015,G,6-0,165,June 9 1985,
Collis Temple\templco01,1975,1975,F,6-8,220,November 8 1952,LSU
Garrett Temple\templga01,2010,2020,G,6-5,195,May 8 1986,LSU
Miloš Teodosić\teodomi01,2018,2019,G,6-5,196,March 19 1987,
Ira Terrell\terreir01,1977,1979,F-C,6-8,200,June 19 1954,SMU
Jared Terrell\terreja01,2019,2019,G,6-3,227,February 10 1995,Rhode Island
Carlos Terry\terryca01,1981,1983,G-F,6-5,210,June 22 1956,Winston-Salem State University
Chuck Terry\terrych01,1973,1977,F,6-6,215,September 27 1950,Cal State Long Beach
Claude Terry\terrycl01,1973,1978,G-F,6-4,195,January 12 1950,Stanford
Emanuel Terry\terryem01,2019,2019,F,6-9,220,August 21 1996,Lincoln Memorial University
Jason Terry\terryja01,2000,2018,G,6-2,185,September 15 1977,Arizona
Hasheem Thabeet\thabeha01,2010,2014,C,7-3,263,February 16 1987,UConn
Tom Thacker\thackto01,1964,1971,G-F,6-2,170,November 2 1939,Cincinnati
Floyd Theard\thearfl01,1970,1970,G,6-1,170,September 5 1944,Kentucky State University
Daniel Theis\theisda01,2018,2020,C,6-8,215,April 4 1992,
Reggie Theus\theusre01,1979,1991,G,6-7,190,October 13 1957,UNLV
Peter Thibeaux\thibepe01,1985,1986,F,6-7,210,October 3 1961,Saint Mary's
Bill Thieben\thiebbi01,1957,1958,F-C,6-7,215,March 28 1935,Hofstra
Justus Thigpen\thigpju01,1970,1974,G,6-1,160,August 13 1947,Weber State
David Thirdkill\thirdda01,1983,1987,F-G,6-7,195,April 12 1960,Bradley
Adonis Thomas\thomaad01,2014,2014,F,6-7,200,March 25 1993,Memphis
Billy Thomas\thomabi01,2005,2008,G,6-4,208,December 23 1975,Kansas
Carl Thomas\thomaca01,1992,1998,G,6-4,175,October 3 1969,Eastern Michigan
Charles Thomas\thomach01,1992,1992,G,6-3,175,October 3 1969,Eastern Michigan
Etan Thomas\thomaet01,2002,2011,F,6-9,256,April 1 1978,Syracuse
Irving Thomas\thomair01,1991,1991,F,6-8,225,January 2 1966,Kentucky Florida State
Isaiah Thomas\thomais02,2012,2020,G,5-9,185,February 7 1989,Washington
Isiah Thomas\thomais01,1982,1994,G,6-1,180,April 30 1961,Indiana
Jamel Thomas\thomaja01,2000,2001,F,6-6,215,March 25 1973,Providence
James Thomas\thomaja02,2005,2006,F,6-8,235,November 22 1980,Texas
Jim Thomas\thomaji01,1984,1991,G,6-3,190,October 19 1960,Indiana
Joe Thomas\thomajo01,1971,1971,F,6-6,205,March 9 1948,Marquette
John Thomas\thomajo02,1998,2006,F,6-9,265,September 8 1975,Minnesota
Kenny Thomas\thomake01,2000,2010,F,6-7,261,July 25 1977,New Mexico
Khyri Thomas\thomakh01,2019,2020,G,6-3,210,May 8 1996,Creighton
Kurt Thomas\thomaku01,1996,2013,F,6-9,230,October 4 1972,TCU
Lance Thomas\thomala01,2012,2019,F,6-8,240,April 24 1988,Duke
Malcolm Thomas\thomama01,2012,2015,F,6-9,225,November 8 1988,Pepperdine San Diego State
Matt Thomas\thomama02,2020,2020,G,6-4,190,August 4 1994,Iowa State
Ronald Thomas\thomaro01,1973,1976,F,6-6,215,November 19 1950,Louisville
Terry Thomas\thomate01,1976,1976,F,6-8,220,August 20 1953,Detroit Mercy
Tim Thomas\thomati01,1998,2010,F,6-10,230,February 26 1977,Villanova
Tyrus Thomas\thomaty01,2007,2015,F,6-9,215,August 17 1986,LSU
Willis Thomas\thomawi01,1968,1968,G,6-2,185,,Tennessee State
Trey Thompkins\thomptr02,2012,2012,F,6-10,245,May 20 1990,Georgia
Bernard Thompson\thompbe01,1985,1989,F-G,6-6,210,August 30 1962,Fresno State
Billy Thompson\thompbi01,1987,1992,F,6-7,195,December 1 1963,Louisville
Brooks Thompson\thompbr01,1995,1998,G,6-4,193,July 19 1970,Texas A&M Oklahoma State
Corny Thompson\thompco01,1983,1983,F,6-8,225,February 5 1960,UConn
David Thompson\thompda01,1976,1984,G-F,6-4,195,July 13 1954,NC State
Dijon Thompson\thompdi01,2006,2007,G-F,6-7,195,February 23 1983,UCLA
George Thompson\thompge01,1970,1975,G,6-2,200,November 29 1947,Marquette
Hollis Thompson\thompho01,2014,2017,G-F,6-8,206,April 3 1991,Georgetown
Jack Thompson\thompja01,1969,1969,G,6-1,185,March 26 1946,South Carolina
Jason Thompson\thompja02,2009,2016,F-C,6-11,250,July 21 1986,Rider University
John Thompson\thompjo01,1965,1966,F,6-10,225,September 2 1941,Providence
Kevin Thompson\thompke01,1994,1994,C-F,6-11,260,February 7 1971,NC State
Klay Thompson\thompkl01,2012,2019,G-F,6-6,215,February 8 1990,Washington State
LaSalle Thompson\thompla01,1983,1997,C-F,6-10,245,June 23 1961,Texas
Mychal Thompson\thompmy01,1979,1991,C-F,6-10,226,January 30 1955,Minnesota
Mychel Thompson\thompmy02,2012,2012,G,6-6,211,June 1 1988,Pepperdine
Paul Thompson\thomppa01,1984,1986,G-F,6-6,210,May 25 1961,Tulane
Stephen Thompson\thompst01,1992,1992,G,6-4,185,December 2 1968,Syracuse
Tristan Thompson\thomptr01,2012,2020,F-C,6-9,238,March 13 1991,Texas
Skip Thoren\thoresk01,1968,1970,C,6-10,230,April 5 1943,Illinois
Rod Thorn\thornro01,1964,1971,G,6-4,195,May 23 1941,West Virginia
Al Thornton\thornal01,2008,2011,F,6-8,220,December 7 1983,Florida State
Bob Thornton\thornbo01,1986,1996,F-C,6-10,225,July 10 1962,University of California Irvine
Dallas Thornton\thornda01,1969,1970,G,6-4,190,September 1 1946,Kentucky Wesleyan College
Marcus Thornton\thornma01,2010,2017,G,6-4,205,June 5 1987,LSU
Sindarius Thornwell\thornsi01,2018,2019,G,6-5,215,November 15 1994,South Carolina
Otis Thorpe\thorpot01,1985,2001,F-C,6-9,225,August 5 1962,Providence
Sedale Threatt\threase01,1984,1997,G,6-2,175,September 10 1961,West Virginia Tech
Nate Thurmond\thurmna01,1964,1977,C-F,6-11,225,July 25 1941,Bowling Green
Mel Thurston\thursme01,1948,1948,G,6-0,175,January 16 1919,Canisius
Matisse Thybulle\thybuma01,2020,2020,G,6-5,200,March 4 1997,Washington
Hal Tidrick\tidriha01,1949,1949,F-G,6-1,190,April 4 1915,Washington & Jefferson College
Dan Tieman\tiemada01,1963,1963,G,6-0,185,November 30 1940,Thomas More College
Darren Tillis\tillida01,1983,1984,C-F,6-11,215,February 23 1960,Cleveland State University
Jack Tingle\tinglja01,1948,1949,F,6-4,205,December 30 1924,Kentucky
George Tinsley\tinslge01,1970,1972,F,6-5,205,September 19 1946,Kentucky Wesleyan College
Jamaal Tinsley\tinslja01,2002,2014,G,6-3,195,February 28 1978,Iowa State
Wayman Tisdale\tisdawa01,1986,1997,F-C,6-9,240,June 9 1964,Oklahoma
Mike Tobey\tobeymi01,2017,2017,C,7-0,260,October 10 1994,Virginia
Mike Todorovich\todormi01,1950,1951,F-C,6-5,220,June 11 1923,Wyoming
Ray Tolbert\tolbera01,1982,1989,F,6-9,225,September 10 1958,Indiana
Tom Tolbert\tolbeto01,1989,1995,F-C,6-7,235,October 16 1965,University of California Irvine Arizona
Anthony Tolliver\tollian01,2009,2020,F-C,6-8,240,June 1 1985,Creighton
Dean Tolson\tolsode01,1975,1978,F,6-8,190,November 25 1951,Arkansas
Rudy Tomjanovich\tomjaru01,1971,1981,F,6-8,218,November 24 1948,Michigan
Andrew Toney\toneyan01,1981,1988,G,6-3,178,November 23 1957,LA-Lafayette
Sedric Toney\toneyse01,1986,1994,G,6-2,178,April 13 1962,Dayton
Andy Tonkovich\tonkoan01,1949,1949,G,6-1,185,November 1 1922,Marshall
Andy Toolson\toolsan01,1991,1996,G-F,6-6,210,January 19 1966,BYU
Jack Toomay\toomaja01,1948,1950,C-F,6-6,215,August 9 1922,University of the Pacific
Bernard Toone\toonebe01,1980,1980,F,6-9,210,July 14 1956,Marquette
Irv Torgoff\torgoir01,1947,1949,F,6-2,192,March 6 1917,Long Island University
Gene Tormohlen\tormobu01,1963,1970,C-F,6-8,230,May 12 1937,Tennessee
Óscar Torres\torreos01,2002,2003,F,6-6,210,December 18 1976,
Bill Tosheff\toshebi01,1952,1954,G,6-1,175,June 2 1926,Indiana
Bob Tough\toughbo01,1949,1950,G-F,6-0,185,August 28 1920,St. John's
Axel Toupane\toupaax01,2016,2017,G-F,6-7,197,July 23 1992,
Monte Towe\towemo01,1976,1977,G,5-7,150,September 27 1953,NC State
Keith Tower\towerke01,1994,1997,C-F,6-11,250,May 15 1970,Notre Dame
Blackie Towery\towerbl01,1949,1950,F-C,6-4,210,June 20 1920,Western Kentucky
Linton Townes\towneli01,1983,1985,F-G,6-7,190,November 30 1959,James Madison University
Karl-Anthony Towns\townska01,2016,2020,C-F,6-11,248,November 15 1995,Kentucky
Raymond Townsend\townsra01,1979,1982,G,6-3,175,December 20 1955,UCLA
George Trapp\trappge01,1972,1977,F-C,6-8,205,July 11 1948,Cal State Long Beach
John Trapp\trappjo01,1969,1973,F,6-7,210,October 2 1945,UNLV
Robert Traylor\traylro01,1999,2005,F,6-8,284,February 1 1977,Michigan
Gary Trent\trentga01,1996,2004,F,6-8,250,September 22 1974,Ohio University
Gary Trent\trentga02,2019,2020,G,6-5,209,January 18 1999,Duke
Jeff Trepagnier\trepaje01,2002,2004,G,6-4,200,July 11 1979,USC
John Tresvant\tresvjo01,1965,1973,F-C,6-7,215,November 6 1939,Seattle University
Allonzo Trier\trieral01,2019,2020,G,6-4,200,January 17 1996,Arizona
