Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Stephen Vacendak\vacenst01,1968,1970,G,6-1,185,August 15 1944,Duke
Jonas Valančiūnas\valanjo01,2013,2020,C,6-11,265,May 6 1992,
Darnell Valentine\valenda01,1982,1991,G,6-1,183,February 3 1959,Kansas
Denzel Valentine\valende01,2017,2020,G,6-4,210,November 16 1993,Michigan State
Ronnie Valentine\valenro01,1981,1981,F,6-7,210,November 27 1957,Old Dominion
John Vallely\vallejo01,1971,1972,G,6-3,185,October 3 1948,UCLA
Dick Van Arsdale\vanardi01,1966,1977,G-F,6-5,210,February 22 1943,Indiana
Tom Van Arsdale\vanarto01,1966,1977,F-G,6-5,202,February 22 1943,Indiana
Butch van Breda Kolff\vanbrbu01,1947,1950,G-F,6-3,185,October 28 1922,NYU
Jan van Breda Kolff\vanbrja01,1975,1983,F-G,6-7,195,December 16 1951,Vanderbilt
Nick Van Exel\vanexni01,1994,2006,G,6-1,170,November 27 1971,Trinity Valley Community College Cincinnati
Keith Van Horn\vanhoke01,1998,2006,F,6-10,220,October 23 1975,Utah
Norm Van Lier\vanlino01,1970,1979,G,6-1,173,April 1 1947,Saint Francis University
Dennis Van Zant\vanzade01,1976,1976,F,6-9,210,June 1 1952,Azusa Pacific University
Gene Vance\vancege01,1948,1952,G-F,6-3,195,February 25 1923,Illinois
Logan Vander Velden\vandelo01,1996,1996,F,6-8,215,April 3 1971,Green Bay
Jarred Vanderbilt\vandeja01,2019,2020,F,6-9,214,April 3 1999,Kentucky
Ernie Vandeweghe\vandeer01,1950,1956,F-G,6-3,195,September 12 1928,Colgate
Kiki Vandeweghe\vandeki01,1981,1993,F,6-8,220,August 1 1958,UCLA
Nick Vanos\vanosni01,1986,1987,C,7-1,255,April 13 1963,Santa Clara
David Vanterpool\vanteda01,2001,2001,G,6-5,200,March 31 1973,St. Bonaventure
Fred VanVleet\vanvlfr01,2017,2020,G,6-1,195,February 25 1994,Wichita State
Ratko Varda\vardara01,2002,2002,C,7-1,260,May 6 1979,
Anderson Varejão\varejan01,2005,2017,F-C,6-10,273,September 28 1982,
Jarvis Varnado\varnaja01,2013,2014,F,6-9,230,March 1 1988,Mississippi State
Greivis Vásquez\vasqugr01,2011,2017,G,6-6,217,January 16 1987,Maryland
Chico Vaughn\vaughch01,1963,1970,G,6-2,190,February 19 1940,Southern Illinois
David Vaughn\vaughda01,1975,1976,C,6-11,220,June 4 1952,Oral Roberts
David Vaughn\vaughda02,1996,1999,F,6-9,240,March 23 1973,Memphis
Jacque Vaughn\vaughja01,1998,2009,G,6-1,190,February 11 1975,Kansas
Rashad Vaughn\vaughra01,2016,2018,G,6-6,202,August 16 1996,UNLV
Virgil Vaughn\vaughvi01,1947,1947,F-C,6-4,205,May 15 1918,Western Kentucky
Loy Vaught\vaughlo01,1991,2001,F,6-9,230,February 27 1968,Michigan
Bob Verga\vergabo01,1968,1974,G,6-1,190,September 7 1945,Duke
Pete Verhoeven\verhope01,1982,1987,F,6-9,215,February 15 1959,Fresno State
Jan Veselý\veselja01,2012,2014,F,6-11,240,April 24 1990,
Gundars Vētra\vetragu01,1993,1993,F,6-6,195,May 22 1967,
João Vianna\viannjo01,1992,1992,F,6-9,215,November 15 1966,
Charlie Villanueva\villach01,2006,2016,F,6-11,232,August 24 1984,UConn
Jay Vincent\vinceja01,1982,1990,F,6-7,220,June 10 1959,Michigan State
Sam Vincent\vincesa01,1986,1992,G,6-2,185,May 18 1963,Michigan State
Marcus Vinicius\vincima01,2007,2008,F,6-8,225,May 31 1984,
Fred Vinson\vinsofr01,1995,2000,G,6-4,190,January 28 1971,Georgia Tech
Claude Virden\virdecl01,1973,1973,F,6-6,195,November 25 1947,Murray State
Gary Voce\vocega01,1990,1990,F,6-9,240,November 24 1965,Notre Dame
Floyd Volker\volkefl01,1950,1950,F-C,6-4,205,June 21 1921,Wyoming
Alexander Volkov\volkoal01,1990,1992,C,6-10,218,March 28 1964,
Whitey Von Nieda\vonniwh01,1950,1950,G-F,6-1,170,June 19 1922,Penn State
Noah Vonleh\vonleno01,2015,2020,F,6-10,257,August 24 1995,Indiana
Jake Voskuhl\voskuja01,2001,2009,C,6-11,245,November 1 1977,UConn
Danny Vranes\vraneda01,1982,1988,F,6-7,210,October 29 1958,Utah
Slavko Vraneš\vranesl01,2004,2004,C,7-5,275,January 30 1983,
Stojko Vranković\vrankst01,1991,1999,C,7-2,260,January 22 1964,
Brett Vroman\vromabr01,1981,1981,C,7-0,220,December 25 1955,UCLA UNLV
Jackson Vroman\vromaja01,2005,2006,F-C,6-10,220,June 6 1981,Iowa State
Nikola Vučević\vucevni01,2012,2020,C,6-11,260,October 24 1990,USC
Sasha Vujačić\vujacsa01,2005,2017,G,6-7,195,March 8 1984,
