Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Dean Wade\wadede01,2020,2020,F,6-9,228,November 20 1996,Kansas State
Dwyane Wade\wadedw01,2004,2019,G,6-4,220,January 17 1982,Marquette
Mark Wade\wadema01,1988,1990,G,5-11,160,October 15 1965,Oklahoma UNLV
Von Wafer\wafervo01,2006,2012,G,6-5,210,July 21 1985,Florida State
Clint Wager\wagercl01,1950,1950,C-F,6-6,210,January 20 1920,Saint Mary's University of Minnesota
Dajuan Wagner\wagneda02,2003,2007,G,6-2,200,February 4 1983,Memphis
Danny Wagner\wagneda01,1950,1950,G,6-0,170,August 1 1922,Texas
Milt Wagner\wagnemi01,1988,1991,G,6-5,185,February 20 1963,Louisville
Moritz Wagner\wagnemo01,2019,2020,F-C,6-11,245,April 26 1997,Michigan
Phillip Wagner\wagneph01,1969,1969,G,6-2,190,December 18 1945,Georgia Tech
Dion Waiters\waitedi01,2013,2019,G,6-3,215,December 10 1991,Syracuse
Granville Waiters\waitegr01,1984,1988,C,6-11,225,January 8 1961,Ohio State
Andre Wakefield\wakefan01,1979,1980,G,6-3,175,January 11 1955,Loyola Chicago
Neal Walk\walkne01,1970,1977,C,6-10,220,July 29 1948,Florida
Andy Walker\walkean01,1977,1977,G,6-4,190,March 25 1955,Niagara University
Antoine Walker\walkean02,1997,2008,F,6-8,224,August 12 1976,Kentucky
Brady Walker\walkebr01,1949,1952,F-C,6-6,205,March 15 1921,BYU
Chet Walker\walkech01,1963,1975,F-G,6-6,212,February 22 1940,Bradley
Darrell Walker\walkeda01,1984,1993,G,6-4,180,March 9 1961,Arkansas
Foots Walker\walkefo01,1975,1984,G,6-0,184,May 21 1951,West Georgia
Henry Walker\walkebi01,2009,2015,F,6-6,220,October 9 1987,Kansas State
Horace Walker\walkeho01,1962,1962,F,6-3,210,April 17 1937,Michigan State
Jimmy Walker\walkeji01,1968,1976,G,6-3,195,April 8 1944,Providence
Kemba Walker\walkeke02,2012,2020,G,6-0,172,May 8 1990,UConn
Kenny Walker\walkeke01,1987,1995,F,6-8,210,August 18 1964,Kentucky
Lonnie Walker\walkelo01,2019,2020,G,6-5,205,December 14 1998,Miami (FL)
Phil Walker\walkeph01,1978,1978,G,6-3,180,March 20 1956,Millersville
Samaki Walker\walkesa01,1997,2006,F,6-9,240,February 25 1976,Louisville
Wally Walker\walkewa01,1977,1984,F,6-7,190,July 18 1954,Virginia
John Wall\walljo01,2011,2019,G,6-4,210,September 6 1990,Kentucky
Ben Wallace\wallabe01,1997,2012,F-C,6-9,240,September 10 1974,Virginia Union University
Gerald Wallace\wallage01,2002,2015,F,6-7,215,July 23 1982,Alabama
John Wallace\wallajo01,1997,2004,F,6-8,225,February 9 1974,Syracuse
Rasheed Wallace\wallara01,1996,2013,F-C,6-10,225,September 17 1974,UNC
Red Wallace\wallare01,1947,1947,G,6-1,185,July 12 1918,University of Scranton
Tyrone Wallace\wallaty01,2018,2020,G,6-5,198,June 10 1994,California
Dwight Waller\walledw01,1969,1972,F,6-6,220,October 5 1945,Tennessee State
Jamie Waller\walleja01,1988,1988,G,6-4,215,November 20 1964,Virginia Union University
Taurean Waller-Prince\princta02,2017,2020,F,6-7,218,March 22 1994,Baylor
Jim Walsh\walshji01,1958,1958,F,6-4,195,August 29 1930,Stanford
Matt Walsh\walshma01,2006,2006,G-F,6-6,205,December 2 1982,Florida
Rex Walters\waltere01,1994,2000,G,6-4,190,March 12 1970,Northwestern Kansas
Paul Walther\walthpa01,1950,1955,G-F,6-2,160,March 23 1927,Tennessee
Isaac Walthour\walthis01,1954,1954,G,5-11,163,August 25 1930,
Bill Walton\waltobi01,1975,1987,C-F,6-11,210,November 5 1952,UCLA
Derrick Walton\waltode01,2018,2020,G,6-0,189,April 3 1995,Michigan
Lloyd Walton\waltoll01,1977,1981,G,6-0,160,November 23 1953,Marquette
Luke Walton\waltolu01,2004,2013,F,6-8,235,March 28 1980,Arizona
Brad Wanamaker\wanambr01,2019,2020,G,6-3,210,July 25 1989,Pitt
Bobby Wanzer\wanzebo01,1949,1957,G,6-0,170,June 4 1921,Seton Hall
Perry Warbington\warbipe01,1975,1975,G,6-2,165,September 7 1952,Georgia Southern University
Charlie Ward\wardch01,1995,2005,G,6-2,190,October 12 1970,Florida State
Gerry Ward\wardge01,1964,1967,G,6-4,195,September 6 1941,Boston College
Henry Ward\wardhe01,1976,1977,G-F,6-4,195,January 30 1952,Jackson State University
Casper Ware\wareca01,2014,2014,G,5-10,175,January 17 1990,Cal State Long Beach
Jim Ware\wareji01,1967,1969,F,6-7,210,May 2 1944,Oklahoma City University
Ben Warley\warlebe01,1963,1970,F-G,6-5,200,September 4 1936,Tennessee State
Bob Warlick\warlibo01,1966,1970,G-F,6-5,200,March 20 1941,Pepperdine
Cornell Warner\warneco01,1971,1977,F-C,6-9,220,August 12 1948,Jackson State University
Jameel Warney\warneja01,2018,2018,F,6-8,260,January 31 1994,Stony Brook University
Bob Warren\warrebo01,1969,1976,G,6-5,190,July 17 1946,Vanderbilt
John Warren\warrejo01,1970,1974,G-F,6-3,180,July 7 1947,St. John's
T.J. Warren\warretj01,2015,2020,F,6-8,215,September 5 1993,NC State
Willie Warren\warrewi01,2011,2011,G,6-4,203,October 22 1989,Oklahoma
Bryan Warrick\warribr01,1983,1986,G,6-5,195,July 22 1959,Saint Joseph's
Hakim Warrick\warriha01,2006,2013,F,6-9,219,July 8 1982,Syracuse
Chris Washburn\washbch01,1987,1988,C,6-11,225,May 13 1965,NC State
Julian Washburn\washbju01,2019,2019,F,6-8,210,December 18 1991,Texas-El Paso
Bobby Washington\washibo01,1970,1972,G,5-11,175,July 11 1947,Eastern Kentucky University
Darius Washington\washida01,2008,2008,G,6-2,195,December 6 1985,Memphis
Donald Washington\washido01,1975,1976,F,6-8,210,April 22 1952,UNC
Duane Washington\washidu01,1988,1993,G,6-4,195,August 31 1964,Middle Tennessee State University
